Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Using Pattern-Oriented Modeling for Revealing Hidden Information: A Key for Reconciling Ecological Theory and Application","Thorsten Wiegand; Florian Jeltsch; Ilkka Hanski; Volker Grimm","Oikos",="00301299",,="2003","100","2","209","14","edsjsr.3548178",,"Blackwell Publishers","research-article","Ecological modeling; Parametric models; Modeling; Metapopulation ecology; Spatial models; Population ecology; Savannas; Conservation biology; Mortality; Applied ecology",,"We suggest that the conscious use of information that is ""hidden"" in distinct structures in nature itself and in data extracted from nature (= pattern) during the process of modeling (= pattern-oriented modeling) can substantially improve models in ecological application and conservation. Observed patterns, such as time-series patterns and spatial patterns of presence/absence in habitat patches, contain a great deal of data on scales, site-history, parameters and processes. Use of these data provides criteria for aggregating the biological information in the model, relates the model explicitly to the relevant scales of the system, facilitates the use of helpful techniques of indirect parameter estimation with independent data, and helps detect underlying ecological processes. Additionally, pattern-oriented models produce comparative predictions that can be tested in the field. We developed a step-by-step protocol for pattern-oriented modeling and illustrate the potential of this protocol by discussing three pattern-oriented population models: (1) a population viability analysis for brown bears (Ursus arctos) in northern Spain using time-series data on females with cubs of the year to adjust unknown model parameters; (2) a savanna model for detecting underlying ecological processes from spatial patterns of tree distribution; and (3) the incidence function model of metapopulation dynamics as an example of process integration and model generalization. We conclude that using the pattern-oriented approach to its full potential will require a major paradigm shift in the strategies of modeling and data collection, and we argue that more emphasis must be placed on observing and documenting relevant patterns in addition to attempts to obtain direct estimates of model parameters.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsjsr&AN=edsjsr.3548178&site=eds-live&scope=site&custid=s2775460"
"Bayesian Analysis of Metapopulation Data","R. B. O'hara; E. Arjas; H. Toivonen; I. Hanski","Ecology",="00129658",,="2002","83","9","2408","8","edsjsr.10.2307.3071802","10.2307/3071802","Ecological Society of America","research-article","Bayesian Inference; Data Augmentation; Habitat Patch Occupancy; Markov Chain Monte Carlo (MCMC); Metapopulation Model; Population Viability Analyses (PVA); Metapopulation ecology; Parametric models; Modeling; Datasets; Ecological modeling; Missing data; Markov chains; Bayesian analysis; Estimation methods; Simulations",,"A Bayesian approach is used to develop a method for fitting a metapopulation model (the incidence function model) to data on habitat patch occupancy, providing estimates of the five model parameters. Parameter estimation is carried out using a Markov chain Monte Carlo sampler, and data augmentation is used to include the effect of missing data in the analysis. The Bayesian approach allows us to take into account uncertainty about the parameter estimates when making predictions with the model. We demonstrate the methods of parameter estimation and prediction with simulated data. We first simulated metapopulation dynamics in real habitat patch networks with given parameter values and sampled the simulated data. Parameters were estimated both from full data sets, and from data sets with data for many years treated as missing. These estimates were then used to predict the distribution of time to extinction in modified networks, where patch areas had been reduced so that the real parameter values led to metapopulation extinction within ~30 yr. We were successfully able to fit the model and found that, in some cases, the predictions can be sensitive to one of the parameters.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsjsr&AN=edsjsr.10.2307.3071802&site=eds-live&scope=site&custid=s2775460"
"Dynamic Populations in a Dynamic Landscape: The Metapopulation Structure of the Marsh Fritillary Butterfly","Niklas Wahlberg; Teemu Klemetti; Ilkka Hanski","Ecography",="09067590",,="2002","25","2","224","9","edsjsr.3683604",,"Blackwell Publishers","research-article","Metapopulation ecology; Butterflies; Meadows; Habitat destruction; Habitat conservation; Habitats; Forest habitats; Host plants; Conservation biology; Wetland ecology",,"The marsh fritillary butterfly Euphydryas aurinia is an endangered species in most of northern Europe. We describe the metapopulation structure of E. aurinia in Finland, where the species has declined drastically in the past decades. We found two types of habitat patches suitable for the species: semi-permanent meadows and transient clearcuts in the forest. Patch area was the most significant variable predicting the occurrence of E. aurinia in a habitat patch. The species tended to be found in young rather than old clearcuts, apparently because the vegetation became too high in the latter. We used the incidence function model to simulate the metapopulation dynamics of E. aurinia in its dynamic landscape and discovered that the continued presence of the semi-permanent meadows is essential for the survival of the species in the study area in southeast Finland.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsjsr&AN=edsjsr.3683604&site=eds-live&scope=site&custid=s2775460"
"Epiphyte metapopulation dynamics are explained by species traits, connectivity, and patch dynamics","Snäll, Tord; Johansson, Victor; Ranius, Thomas; Sveriges lantbruksuniversitet, Originator","Ecology",="00129658",,="2012","93",,"235","7","edsswe.oai.slubar.slu.se.43027","10.1890/11-0760.1","Ecological Society of America",,"Ecology; Ekologi",,"The colonization-extinction dynamics of many species are affected by the dynamics of their patches. For increasing our understanding of the metapopulation dynamics of sessile species confined to dynamic patches, we fitted a Bayesian incidence function model extended for dynamic landscapes to snapshot data on five epiphytic lichens among 2083 mapped oaks (dynamic patches). We estimate the age at which trees become suitable patches for different species, which defines their niche breadth (number of suitable trees). We show that the colonization rates were generally low, but increased with increasing connectivity in accordance with metapopulation theory. The rates were related to species traits, and we show, for the first time, that they are higher for species with wide niches and small dispersal propagules than for species with narrow niches or large propagules. We also show frequent long-distance dispersal in epiphytes by quantifying the relative importance of local dispersal and background deposition of dispersal propagules. Local stochastic extinctions from intact trees were negligible in all study species, and thus, the extinction rate is set by the rate of patch destruction (tree fall). These findings mean that epiphyte metapopulations may have slow colonization-extinction dynamics that are explained by connectivity, species traits, and patch dynamics.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsswe&AN=edsswe.oai.slubar.slu.se.43027&site=eds-live&scope=site&custid=s2775460"
"Comparison of two types of metapopulation models in real and artificial landscapes","Hokit, D. Grant; Stith, Bradley M.; Branch, Lyn C.","Conservation Biology",="08888892",,="2001","15","4","1102",,"edsgcl.128588351",,"Wiley Subscription Services, Inc.",,"Landscape -- Environmental aspects; Population research -- Models; Environmental policy",,"The two most common modeling techniques, incidence function model and stage-based matrix models is compared and their accuracy in predicting patch occupancy for a real metapopulation is presented. It is suggested that the understanding of different models becomes increasingly important as conservation programs undertake the challenge of managing for multiple species in a landscape context.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsgea&AN=edsgcl.128588351&site=eds-live&scope=site&custid=s2775460"
"Metacommunity, mainland-island system or island communities? Assessing the regional dynamics of plant communities in a fragmented landscape","Felix May; Itamar Giladi; Michael Ristow; Yaron Ziv; Florian Jeltsch","Ecography",="09067590",,="2013","36","7","842",,"edsjsr.ecography.36.7.842",,"Nordic Society Oikos","research-article",,,"Understanding the regional dynamics of plant communities is crucial for predicting the response of plant diversity to habitat fragmentation. However, for fragmented landscapes the importance of regional processes, such as seed dispersal among isolated habitat patches, has been controversially debated. Due to the stochasticity and rarity of among-patch dispersal and colonization events, we still lack a quantitative understanding of the consequences of these processes at the landscape-scale.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsjsr&AN=edsjsr.ecography.36.7.842&site=eds-live&scope=site&custid=s2775460"
"Epiphyte metapopulation dynamics are explained by species traits, connectivity, and patch dynamics","Victor Johansson; Thomas Ranius; Tord Snäll","Ecology",="00129658",,="2012","93","2","235",,"edsjsr.23143903",,"Ecological Society of America","research-article","Metapopulation ecology; Species extinction; Lichens; Tree age; Extinct species; Connectivity; Ecological modeling; Snails; Trees; Epiphytes",,"The colonization-extinction dynamics of many species are affected by the dynamics of their patches. For increasing our understanding of the metapopulation dynamics of sessile species confined to dynamic patches, we fitted a Bayesian incidence function model extended for dynamic landscapes to snapshot data on five epiphytic lichens among 2083 mapped oaks (dynamic patches). We estimate the age at which trees become suitable patches for different species, which defines their niche breadth (number of suitable trees). We show that the colonization rates were generally low, but increased with increasing connectivity in accordance with metapopulation theory. The rates were related to species traits, and we show, for the first time, that they are higher for species with wide niches and small dispersal propagules than for species with narrow niches or large propagules. We also show frequent long-distance dispersal in epiphytes by quantifying the relative importance of local dispersal and background deposition of dispersal propagules. Local stochastic extinctions from intact trees were negligible in all study species, and thus, the extinction rate is set by the rate of patch destruction (tree fall). These findings mean that epiphyte metapopulations may have slow colonization-extinction dynamics that are explained by connectivity, species traits, and patch dynamics.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsjsr&AN=edsjsr.23143903&site=eds-live&scope=site&custid=s2775460"
"A novel approach based on information theory to rank conservation strategies: an application to amphibian metapopulations",,"Animal conservation",="1367-9430",,="2008","11","6","453","10","IND44138862","10.1111/j.1469-1795.2008.00190.x",,"Journal Article","Rhine River; Switzerland",,"Habitat fragmentation, reduction and degradation as well as the quality of habitat connecting environments are critical for species persistence. Spatially explicit metapopulation models considering environmental effects are natural candidates for modelling population viability. However, metapopulations share the inherent uncertainties of the population concept with vague field population definitions. The recognition of the fuzzy nature of populations leads to operational definitions for management purposes. To deal with scarce information and uncertainties in predictions of intervention effects, Adaptive Management is useful. Accordingly, the synthesis of monitoring information is performed with models whose features are continuously adapted to the level of available information. To derive useful indices for conservation strategy evaluation, we propose a novel approach based on the Kullback-Leibler information measure. This is used to evaluate strategies aimed at the conservation of amphibians in an alpine Rhine valley region (Canton of the Grisons, Switzerland) and it is applied to outputs from an incidence function model for Bufo bufo and Rana temporaria. For these species, establishing four additional breeding sites along the Rhine river is a better strategy than placing two additional sites in intensively cultivated land. Artificial ponds in residential areas contribute to species conservation, and transfer of individuals to new sites has advantages over reliance on spontaneous colonization. Bufo bufo and R. temporaria reacted similarly to conservation measures, possibly due to their quite similar ecologies.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=agr&AN=IND44138862&site=eds-live&scope=site&custid=s2775460"
"Singleâspecies dynamic site selection","Moilanen, Atte; Mar Cabeza","Ecological applications",="1051-0761",,="2002","12","3","913","14","IND605875071","10.1890/1051-0761(2002)012%5B0913:SSDSS%5D2.0.CO;2",,"Journal Article","algorithms; butterflies; data collection; endangered species; models; reserve networks; system optimization; Finland",,"Methods for designing regional reserve networks mostly concentrate on providing maximal representation of species occurring in the region. Representationâbased methods, however, typically consider a static snapshot of species incidences, and the spatial dynamics of the species are ignored. It has been empirically demonstrated that reserves designed using representation do not guarantee another important goal of reserve design: longâterm persistence. The question studied here is the following: Which subset of sites do you select to maximize the longâterm persistence of a species living in a metapopulation, given that each site has a cost and the amount of resource (e.g., money) available is limited? We present an optimization method, which uses a combination of evolutionary optimization (a genetic algorithm) and local search to find the optimal selection of sites. The quality of each candidate solution is evaluated using a spatially realistic metapopulation model, the incidence function model. The proposed method is applied to a metapopulation of the false heath fritillary butterfly, an endangered species in Finland. With this data set, the proposed estimation method produces intuitively acceptable and consistent results within minutes of computation time. Sites favored by the algorithm are located in three patch clusters, and they tend to be inexpensive and initially occupied. Expensive and/or very isolated patches are rarely selected into the optimal site selection.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=agr&AN=IND605875071&site=eds-live&scope=site&custid=s2775460"
"Linking habitat use to range expansion rates in fragmented landscapes: a metapopulation approach","Robert J. Wilson; Zoe G. Davies; Chris D. Thomas","Ecography",="09067590",,="2010","33","1","73",,"edsjsr.20696332","10.1111/j.1600-0587.2009.06038.x","Blackwell Publishing","research-article","Habitat conservation; Climate change; Metapopulation ecology; Habitats; Butterflies; Habitat fragmentation; Species; Modeling; Species extinction; Rangelands",,"Temperature increases because of climate change are expected to cause expansions at the high latitude margins of species distributions, but, in practice, fragmented landscapes act as barriers to colonization for most species. Understanding how species distributions will shift in response to climate change therefore requires techniques that incorporate the combined effects of climate and landscape-scale habitat availability on colonization rates. We use a metapopulation model (Incidence Function Model, IFM) to test effects of fine-scale habitat use on patterns and rates of range expansion by the butterfly Hesperia comma. At its northern range margin in Britain, this species has increased its breadth of microhabitat use because of climate warming, leading to increased colonization rates. We validated the IFM by reconstructing expansions in five habitat networks between 1982 and 2000, before using it to predict metapopulation dynamics over 100 yr, for three scenarios based on observed changes to habitat use. We define the scenarios as ""cold-world"" (only hot, south-facing 150-250° hillsides are deemed warm enough), ""warm-world"" in which 100-300° hillsides can be populated, and ""hot-world"", where the background climate is warm enough to enable use of all aspects (as increasingly observed). In the simulations, increased habitat availability in the hot-world scenario led to faster range expansion rates, and to long-term differences in distribution size and pattern. Thus, fine-scale changes in the distribution of suitable microclimates led to landscape-scale changes in population size and colonization rate, resulting in coarse-scale changes to the species distribution. Despite use of a wider range of habitats associated with climate change, H. comma is still expected to occupy a small fraction of available habitat in 100 yr. The research shows that metapopulation models represent a potential framework to identify barriers to range expansion, and to predict the effects of environmental change or conservation interventions on species distributions and persistence.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsjsr&AN=edsjsr.20696332&site=eds-live&scope=site&custid=s2775460"
