Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Bayesian state-space modeling of metapopulation dynamics in the Glanville fritillary butterfly.","Harrison, Philip J.; Hanski, Ilkka; Ovaskainen, Otso","Ecological Monographs",="00129615",,="Nov2011","81","4","581","18","70063598",,"Wiley-Blackwell","Article","ECOSYSTEM dynamics; METAPOPULATION (Ecology); BUTTERFLIES; HABITATS; STOCHASTIC systems; BAYESIAN analysis","Bayesian estimation; cross-validation; diffusion; dispersal; habitat quality; individual-based model (IBM); mark-recapture; Markov chain Monte Carlo (MCMC); Melitaea cinxia; random effects; state-space model (SSM); stochastic patch occupancy model (SPOM)","The complexity of mathematical models of ecological dynamics varies greatly, and it is often difficult to judge what would be the optimal level of complexity in a particular case. Here we compare the parameter estimates, model fits, and predictive abilities of two models of metapopulation dynamics: a detailed individual-based model (IBM) and a population-based stochastic patch occupancy model (SPOM) derived from the IBM. The two models were fitted to a 17-year time series of data for the Glanville fritillary butterfly (Melitaea cinxia) inhabiting a network of 72 small meadows. The data consisted of biannual counts of larval groups (IBM) and the annual presence or absence of local populations (SPOM). The models were fitted using a Bayesian state-space approach with a hierarchical random effect structure to account for observational, demographic, and environmental stochasticities. The detection probability of larval groups (IBM) and the probability of false zeros of local populations (SPOM) in the observation models were simultaneously estimated from the timeseries data and independent control data. Prior distributions for dispersal parameters were obtained from a separate analysis of mark-recapture data. Both models fitted the data about equally, but the results were more precise for the IBM than for the SPOM. The two models yielded similar estimates for a random effect parameter describing habitat quality in each patch, which were correlated with independent empirical measures of habitat quality. The modeling results showed that variation in habitat quality influenced patch occupancy more through the effects on movement behavior at patch edges than on carrying capacity, whereas the latter influenced the mean population size in occupied patches. The IBM and the SPOM explained 63% and 45%, respectively, of the observed variation in the fraction of occupied habitat area among 75 independent patch networks not used in parameter estimation. We conclude that, while carefully constructed, detailed models can have better predictive ability than simple models, this advantage comes with the cost of greatly increased data requirements and computational challenges. Our results illustrate how complex models can be helpful in facilitating the construction of effective simpler models. [ABSTRACT FROM AUTHOR] Copyright of Ecological Monographs is the property of John Wiley & Sons, Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=puh&AN=70063598&site=eds-live&scope=site&custid=s2775460"
"Integrating social and ecological data to model metapopulation dynamics in coupled human and natural systems.","Van Schmidt, Nathan D.; Kovach, Tony; Kilpatrick, A. Marm; Oviedo, Jose L.; Huntsinger, Lynn; Hruska, Tracy; Miller, Norman L.; Beissinger, Steven R.","Ecology",="00129658",,="Jun2019","100","6","N.PAG","1","136785667",,"Wiley-Blackwell","Article","METAPOPULATION (Ecology); BLACK rail; BIOLOGICAL extinction; BIRD populations; WEST Nile virus","agent‐based model; black rail; coupled human and natural system; data integration for population models Special Feature; irrigation; land‐use change; metapopulation; rangeland; social‐ecological system; stochastic patch occupancy model; Virginia rail; wetland; working landscape","Understanding how metapopulations persist in dynamic working landscapes requires assessing the behaviors of key actors that change patches as well as intrinsic factors driving turnover. Coupled human and natural systems (CHANS) research uses a multidisciplinary approach to identify the key actors, processes, and feedbacks that drive metapopulation and landscape dynamics. We describe a framework for modeling metapopulations in CHANS that integrates ecological and social data by coupling stochastic patch occupancy models of metapopulation dynamics with agent‐based models of land‐use change. We then apply this framework to metapopulations of the threatened black rail (Laterallus jamaicensis) and widespread Virginia rail (Rallus limicola) that inhabit patchy, irrigation‐fed wetlands in the rangelands of the California Sierra Nevada foothills. We collected data from five diverse sources (rail occupancy surveys, land‐use change mapping, a survey of landowner decision making, climate and reservoir databases, and mosquito trapping and West Nile virus testing) and integrated them into an agent‐based stochastic patch occupancy model. We used the model to (1) quantify the drivers of metapopulation dynamics, and the potential interactions and feedbacks among them; (2) test predictions of the behavior of metapopulations in dynamic working landscapes; and (3) evaluate the impact of three policy options on metapopulation persistence (irrigation district water cutbacks during drought, incentives for landowners to create wetlands, and incentives for landowners to protect wetlands). Complex metapopulation dynamics emerged when landscapes functioned as CHANS, highlighting the importance of integrating human activities and other ecological processes into metapopulation models. Rail metapopulations were strongly top‐down regulated by precipitation, and the black rail's decade‐long decline was caused by the combination of West Nile virus and drought. Theoretical predictions of the two metapopulations' responses to dynamic landscapes and incentive programs were complicated by heterogeneity in patch quality and CHANS couplings, respectively. Irrigation cutbacks during drought posed a serious extinction risk that neither incentive policy effectively ameliorated. [ABSTRACT FROM AUTHOR] Copyright of Ecology is the property of John Wiley & Sons, Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=puh&AN=136785667&site=eds-live&scope=site&custid=s2775460"
"From Individual Behavior to Metapopulation Dynamics: Unifying the Patchy Population and Classic Metapopulation Models.","Ovaskainen, Otso; Hanski, Ilkka","American Naturalist",="00030147",,="Sep2004","164","3","E11","14","14306870",,"University of Chicago Press","Article","BUTTERFLIES; HABITATS; ANIMAL populations; SIMULATION methods & models; ANIMAL migration; LANDSCAPES","Glanville fritillary butterfly; individual-based model; metapopulation; patchy population; SPOMSIM; stochastic patch occupancy model","Spatially structured populations in patchy habitats show much variation in migration rate, from patchy populations in which individuals move repeatedly among habitat patches to classic meta- populations with infrequent migration among discrete populations. To establish a common framework for population dynamics in patchy habitats, we describe an individual-based model (IBM) involving a diffusion approximation of correlated random walk of individual movements. As an example, we apply the model to the Glanville fritillary butterfly (Melitaea cinxia) inhabiting a highly fragmented landscape. We derive stochastic patch occupancy model (SPOM) approximations for the IBMs assuming pure demographic stochasticity, uncorrelated environmental stochasticity, or completely correlated environmental stochasticity in local dynamics. Using realistic parameter values for the Glanville fritillary, we show that the SPOMs mimic the behavior of the IBMs well. The SPOMs derived from IBMs have parameters that relate directly to the life history and behavior of individuals, which is an advantage for model interpretation and parameter estimation. The modeling approach that we describe here provides a unified framework for patchy populations with much movements among habitat patches and classic metapopulations with infrequent movements. [ABSTRACT FROM AUTHOR] Copyright of American Naturalist is the property of University of Chicago and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=puh&AN=14306870&site=eds-live&scope=site&custid=s2775460"
"A demographic, spatially explicit patch occupancy model of metapopulation dynamics and persistence.","Sutherland, C. S.; Elston, D. A.; Lambin, X.","Ecology",="00129658",,="Nov2014","95","11","3149","12","99799782",,"Wiley-Blackwell","Article","METAPOPULATION (Ecology); DISPERSAL (Ecology); POPULATION dynamics; POPULATION geography; EUROPEAN water vole; FRAGMENTED landscapes; STATE-space methods; SPATIOTEMPORAL processes","abundance; Arvicola amphibius; false negative; fragmentation; hierarchical model; migration; site occupancy; spatially realistic metapopulation theory; state-space modeling; stochastic patch occupancy model; water vole","Patch occupancy models are extremely important and popular tools for understanding the dynamics, and predicting the persistence, of spatially structured populations. Typically this endeavor is facilitated either by models from classic metapopu-lation theory focused on spatially explicit, dispersal-driven colonization-extinction dynamics and generally assuming perfect detection, or by more recent hierarchical site occupancy models that account for imperfect detection but rarely include spatial effects, such as dispersal, explicitly. Neither approach explicitly considers local demographics in a way that can be used for future projections. However, despite being arguably of equal importance, dispersal and connectivity, local demography, and imperfect detection are rarely modeled explicitly and simultaneously. Understanding the spatiotemporal occurrence patterns of spatially structured populations and making biologically realistic long-term predictions of persistence would benefit from the simultaneous treatment of space, demography, and detectability. We integrated these key ideas in a tractable and intuitive way to develop a demographic and spatially realistic patch occupancy model that incorporates components of dispersal, local demographic stage-structure, and detectability. By explicitly relating stage-specific abundances to measurable patch properties, biologically realistic projections of long-term metapopulation dynamics could be made. We applied our model to data from a naturally fragmented population of water voles Arvícola amphibius to describe observed patch occupancy dynamics and to investigate long-term persistence under scenarios of elevated stage-specific local extinction. Accounting for biases induced by imperfect detection, we were able to estimate: stable, and higher than observed metapopulation occupancy; high rates of patch turnover and stage-specific colonization and extinction rates (juvenile and adult, respectively); and juvenile dispersal distances (average 2.10 km). We found that metapopulation persistence in the presence of elevated extinction risk differed depending on which life stage was exposed, and was more sensitive to elevated juvenile rather than adult extinction risk. Predictions of persistence when dynamics are stage-specific suggest that metapopulations may be more resilient to changes in the environment than predicted when relationships are based on patch size approximations rather than population sizes. Our approach allows explicit consideration of local dynamics and dispersal in spatially structured and stage-structured populations, provides a more detailed mechanistic understanding of metapopulation functioning, and can be used to investigate future extinction risk under biologically meaningful scenarios. [ABSTRACT FROM AUTHOR] Copyright of Ecology is the property of John Wiley & Sons, Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=puh&AN=99799782&site=eds-live&scope=site&custid=s2775460"
"Persistence of black-tailed prairie-dog populations affected by plague in northern Colorado, USA.","George, Dylan B.; Webb, Colleen T.; Pepin, Kim M.; Savage, Lisa T.; Antolin, Michael F.","Ecology",="00129658",,="Jul2013","94","7","1572","12","89707135",,"Wiley-Blackwell","Article","COLORADO; BLACK-tailed prairie dog; PLAGUE; METAPOPULATION (Ecology); YERSINIA pestis; ANIMAL ecology","Cynomys ludovicianus; disease ecology; metapopulation; plague; prairie dog; stochastic patch occupancy model; Yersinia pestis","The spatial distribution of prairie dog (Cynomys ludovicianus) colonies in North America has changed from large, contiguous populations to small, isolated colonies in metapopulations. One factor responsible for this drastic change in prairie-dog population structure is plague (caused by the bacterium Yersinia pestis). We fit stochastic patch occupancy models to 20 years of prairie-dog colony occupancy data from two discrete metapopulations (west and east) in the Pawnee National Grassland in Colorado, USA, that differ in connectivity among suitable habitat patches. We conducted model selection between two hypothesized modes of plague movement: independent of prairie-dog dispersal (colony-area) vs. plague movement consistent with prairie-dog dispersal (connectivity to extinct colonies). The best model, which fit the data well (area under the curve [AUC]: 0.94 west area; 0.79 east area), revealed that over time the proportion of extant colonies was better explained by colony size than by connectivity to extinct (plagued) colonies. The idea that prairie dogs are not likely to be the main vector that spreads Y. pestis across the landscape is supported by the observation that colony extinctions are primarily caused by plague, prairie-dog dispersal is short range, and connectivity to extinct colonies was not selected as a factor in the models. We also conducted simulations with the best model to examine long-term patterns of colony occupancy and persistence of prairie-dog metapopulations. In the case where the metapopulations persist, our model predicted that the western metapopulation would have a colony occupancy rate approximately 2.5 times higher than that of the eastern metapopulation (~50% occupied colonies vs. 20%) in 50 years, but that the western metapopulation has ~80% chance of extinction in 100 years while the eastern metapopulation has a less than 25% chance. Extinction probability of individual colonies depended on the frequency with which colonies of the same size class occurred in the metapopulation. Thus, the long-term persistence of prairie-dog metapopulations depended on specific details of the metapopulation. [ABSTRACT FROM AUTHOR] Copyright of Ecology is the property of John Wiley & Sons, Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=puh&AN=89707135&site=eds-live&scope=site&custid=s2775460"
"Multi-scale processes in metapopulations: contributions of stage structure, rescue effect, and correlated extinctions.","SUTHERLAND, CHRIS; ELSTON, DAVID A.; LAMBIN, XAVIER","Ecology",="00129658",,="Nov2012","93","11","2465","9","84021271",,"Wiley-Blackwell","Article","METAPOPULATION (Ecology); LAND settlement; POPULATION; PLANT colonization; COLONIZATION (Ecology); PLANT ecology; PLANT communities","Arvícola amphibius; Bayesian models; colonization; dispersal; metapopulation; rescue effect; scale; spatially correlated extinction; SPOM; stage structure; stochastic patch occupancy model; water vole","Metapopulations function and persist through a combination of processes acting at a variety of spatial scales. Although the contributions of stage structure, spatially correlated processes, and the rescue effect to metapopulation dynamics have been investigated in isolation, there is no empirical demonstration of all of these processes shaping dynamics in a single system. Dispersal and settlement differ according to the life stage involved; therefore, stage-specific population size may outperform total population size when predicting colonization-extinction dynamics. Synchrony in patch dynamics can lead to accelerated metapopulation extinction, although empirical evidence of the interplay between correlated colonization events and correlated extinctions is lacking. Likewise, few empirical examples exist that provide compelling evidence of migration acting to reduce extinction risk (the rescue effect). We parameterized a hierarchy of metapopulation models to investigate these predictions using a seven-year study of a naturally occurring water vole (Arvícola amphibius) metapopulation. Specifically, we demonstrated the importance of local stage structure in predicting both colonization and extinction events using juvenile and adult population sizes, respectively. Using a novel approach for quantifying correlation in extinction events, we compared the scale of synchrony in colonization and extinction. Strikingly, the scale of dispersal acting to synchronize colonization was an order of magnitude larger than that of correlated extinctions (halving distance of the effect; 12.40 km and 0.89 km, respectively). Additionally, we found compelling evidence for the existence of a nontrivial rescue effect. Here we provide a novel empirical demonstration of a variety of metapopulation processes operating at multiple spatial scales, further emphasizing the need to consider stage structure and local synchrony in the dynamics of spatially dependent, stage-structured (meta) populations. [ABSTRACT FROM AUTHOR] Copyright of Ecology is the property of John Wiley & Sons, Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=puh&AN=84021271&site=eds-live&scope=site&custid=s2775460"
"Non-equilibrium plant metapopulation dynamics challenge the concept of ancient/recent forest species","Lalechere, Etienne; Jabot, Franck; Archaux, Frederic; Deffuant, Guillaume","ECOLOGICAL MODELLING",="03043800",,="2017","366",,"48","10","000423007400005","10.1016/j.ecolmodel.2017.10.008","ELSEVIER SCIENCE BV",,"Stochastic patch occupancy model; Landscape dynamics; Dispersal limitation; Recruitment limitation; Species turnover; Parameter estimation",,,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edswsc&AN=000423007400005&site=eds-live&scope=site&custid=s2775460"
"Dynamic spatio-temporal patterns of metapopulation occupancy in patchy habitats.","Bertassello LE; Bertuzzo E; Botter G; Jawitz JW; Aubeneau AF; Hoverman JT; Rinaldo A; Rao PSC","Royal Society open science",="2054-5703",,="2021 Jan 13","8","1","201309",,"33614074","10.1098/rsos.201309","Royal Society Publishing","Journal Article",,,"Spatio-temporal dynamics in habitat suitability and connectivity among mosaics of heterogeneous wetlands are critical for biological diversity and species persistence in aquatic patchy landscapes. Despite the recognized importance of stochastic hydroclimatic forcing in driving wetlandscape hydrological dynamics, linking such effects to emergent dynamics of metapopulation poses significant challenges. To fill this gap, we propose here a dynamic stochastic patch occupancy model (SPOM), which links parsimonious hydrological and ecological models to simulate spatio-temporal patterns in species occupancy in wetlandscapes. Our work aims to place ecological studies of patchy habitats into a proper hydrologic and climatic framework to improve the knowledge about metapopulation shifts in response to climate-driven changes in wetlandscapes. We applied the dynamic version of the SPOM (D-SPOM) framework in two wetlandscapes in the US with contrasting landscape and climate properties. Our results illustrate that explicit consideration of the temporal dimension proposed in the D-SPOM is important to interpret local- and landscape-scale patterns of habitat suitability and metapopulation occupancy. Our analyses show that spatio-temporal dynamics of patch suitability and accessibility, driven by the stochasticity in hydroclimatic forcing, influence metapopulation occupancy and the topological metrics of the emergent wetlandscape dispersal network. D-SPOM simulations also reveal that the extinction risk in dynamic wetlandscapes is exacerbated by extended dry periods when suitable habitat decreases, hence limiting successful patch colonization and exacerbating metapopulation extinction risks. The proposed framework is not restricted only to wetland studies but could also be applied to examine metapopulation dynamics in other types of patchy habitats subjected to stochastic external disturbances. © 2021 The Authors.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=mnh&AN=33614074&site=eds-live&scope=site&custid=s2775460"
"Metapopulation theory for fragmented landscapes","Hanski, Ilkka; Ovaskainen, Otso","Theoretical Population Biology",="00405809",,="2003","64","1","119","9","S0040580903000224","10.1016/S0040-5809(03)00022-4","Elsevier Inc.","sco","Extinction–colonization dynamics; Levins model; Stochastic metapopulation model; Stochastic patch occupancy model; SPOM; Extinction threshold; Landscape structure; Landscape ecology",,"We review recent developments in spatially realistic metapopulation theory, which leads to quantitative models of the dynamics of species inhabiting highly fragmented landscapes. Our emphasis is in stochastic patch occupancy models, which describe the presence or absence of the focal species in habitat patches. We discuss a number of ecologically important quantities that can be derived from the full stochastic models and their deterministic approximations, with a particular aim of characterizing the respective roles of the structure of the landscape and the properties of the species. These quantities include the threshold condition for persistence, the contributions that individual habitat patches make to metapopulation dynamics and persistence, the time to metapopulation extinction, and the effective size of a metapopulation living in a heterogeneous patch network.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edselp&AN=S0040580903000224&site=eds-live&scope=site&custid=s2775460"
"Evaluating the combined effects of climate and land-use change on tree species distributions","Garcia-Valdes, Raul; Svenning, Jens-Christian; Zavala, Miguel A.; Purves, Drew W.; Araujo, Miguel B.","JOURNAL OF APPLIED ECOLOGY",="00218901",,="2015","52","4","902","11","000358004300014","10.1111/1365-2664.12453","WILEY-BLACKWELL",,"climate change mitigation; climatic disequilibrium; deforestation; habitat loss and fragmentation; Iberian Peninsula; Mediterranean; metapopulation dynamics; non-equilibrium dynamics; reforestation; stochastic patch occupancy model",,,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edswsc&AN=000358004300014&site=eds-live&scope=site&custid=s2775460"
"Abundance-based detectability in a spatially-explicit metapopulation: a case study on a vulnerable beetle species in hollow trees.","Laroche F; Paltto H; Ranius T","Oecologia",="1432-1939",,="2018 Nov","188","3","671",,"30066028","10.1007/s00442-018-4220-5","Springer","Journal Article","Coleoptera; Trees; Animals; Ecosystem; Islands; Population Dynamics",,"In many fragmented habitats, the detectability of a population in a habitat patch closely depends on the local abundance of individuals. However, metapopulation studies rarely connect abundance and detectability. We propose a framework for using abundance-based estimates of detectability in the analysis of a spatially-explicit stochastic patch occupancy model (SPOM). We illustrate our approach with the example of Tenebrio opacus, a beetle inhabiting hollows in old trees, and have based it on a 6-year monitoring programme of adult beetles in an area harbouring a high density of old oaks. We validated our abundance-based methodology by showing that the estimates of detectability were positively and significantly correlated with those obtained from presence/absence data (Pearson r = 0.54, p < 2E-16) in our study system. We further showed that the height of the hollow on the tree and the area of its entrance hole, the living status and girth of the host tree, and the time of survey significantly affected the detectability of beetle populations. Median detectability was 51% for one survey. The SPOM analysis revealed a high but heterogeneous extinction risk among trees, suggesting a metapopulation dynamics between the ""classic"" and ""mainland-island"" paradigms. However, it also indicated unexplained beetle colonization of trees in our study, despite the fact that we included limited detectability in our estimation procedure. This may have been due to the cryptic larval stage of T. opacus and may thus invalidate the use of a classic SPOM in our study system.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=mnh&AN=30066028&site=eds-live&scope=site&custid=s2775460"
"THE LIMITING BEHAVIOUR OF HANSKI'S INCIDENCE FUNCTION METAPOPULATION MODEL","Mcvinish, R.; Pollett, P. K.","JOURNAL OF APPLIED PROBABILITY",="00219002",,="2014","51","2","297","20","000338269000001",,"APPLIED PROBABILITY TRUST",,"Extinction threshold; point process; stochastic patch occupancy model; SPOM; weak convergence",,,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edswsc&AN=000338269000001&site=eds-live&scope=site&custid=s2775460"
"A Bayesian model of metapopulation viability, with application to an endangered amphibian.","Heard, Geoffrey W.; McCarthy, Michael A.; Scroggie, Michael P.; Baumgartner, John B.; Parris, Kirsten M.; Burgman, Mark","Diversity & Distributions",="13669516",,="May/Jun2013","19","5/6","555","12","87447444","10.1111/ddi.12052","Wiley-Blackwell","Article","BAYESIAN analysis; STOCHASTIC analysis; LOGISTIC regression analysis; PROBABILITY theory; COLONIZATION; WETLANDS","Amphibian; Bayesian; metapopulation; regression; risk; SPOM; viability","Aim Population viability analysis ( PVA) is used to quantify the risks faced by species under alternative management regimes. Bayesian PVAs allow uncertainty in the parameters of the underlying population model to be easily propagated through to the predictions. We developed a Bayesian stochastic patch occupancy model ( SPOM) and used this model to assess the viability of a metapopulation of the growling grass frog ( Litoria raniformis) under different urbanization scenarios. Location Melbourne, Victoria, Australia. Methods We fitted a Bayesian model that accounted for imperfect detection to a multiseason occupancy dataset for L. raniformis collected across northern Melbourne. The probability of extinction was modelled as a function of effective wetland area, aquatic vegetation cover and connectivity, using logistic regression. The probability of colonization was modelled as a function of connectivity alone. We then simulated the dynamics of a metapopulation of L. raniformis subject to differing levels of urbanization and compensatory wetland creation. Uncertainty was propagated by conducting simulations for 5000 estimates of the parameters of the models for extinction and colonization. Results There was considerable uncertainty in both the probability of quasi-extinction and the minimum number of occupied wetlands under most urbanization scenarios. Uncertainty around the change in quasi-extinction risk and minimum metapopulation size increased with increasing habitat loss. For our focal metapopulation, the analysis revealed that significant investment in new wetlands may be required to offset the impacts of urbanization. Main conclusions Bayesian approaches to PVA allow parametric uncertainty to be propagated and considered in management decisions. They also provide means of identifying parameters that represent critical uncertainties, and, through the use of informative priors, can easily assimilate new data to reduce parametric uncertainty. These advantages, and the ready availability of software to run Bayesian analyses, will ensure that Bayesian approaches are used increasingly for PVAs. [ABSTRACT FROM AUTHOR] Copyright of Diversity & Distributions is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=a9h&AN=87447444&site=eds-live&scope=site&custid=s2775460"
"Detecting environmental impacts on metapopulations of mound spring invertebrates: Assessing an incidence function model","Tyre, Andrew J; Possingham, Hugh P; Niejalke, Darren P","Environment International",="01604120",,="2001","27","2","225","5","S0160412001000915","10.1016/S0160-4120(01)00091-5","Elsevier Ltd","fla","Metapopulation; Environmental impact; Great Artesian Basin; Incidence function model; Quasi-equilibrium; Maximum likehood",,"We use a stochastic patch occupancy model of invertebrates in the Mound Springs ecosystem of South Australia to assess the ability of incidence function models to detect environmental impacts on metapopulations. We assume that the probability of colonisation decreases with increasing isolation and the probability of extinction is constant across spring vents. We run the models to quasi-equilibrium, and then impose an impact by increasing the local extinction probability. We sample the output at various times pre- and postimpact, and examine the probability of detecting a significant change in population parameters. The incidence function model approach turns out to have little power to detect environmental impacts on metapopulations with small numbers of patches.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edselp&AN=S0160412001000915&site=eds-live&scope=site&custid=s2775460"
"When Group Dispersal and Allee Effect Shape Metapopulation Dynamics.","Soubeyrand, Samuel; Laine, Anna-Liisa","Annales Zoologici Fennici",="0003455X",,="May2017","54","1-4","123","16","123144171","10.5735/086.054.0112","Finnish Zoological & Botanical Publishing Board","Article","ECOSYSTEM dynamics; DISPERSAL (Ecology); METAPOPULATION (Ecology); ECOLOGICAL research; STOCHASTIC analysis",,"The dispersal ability of a species will be critical for how population dynamics are realized in spatially structured systems. To date, the effect of group dispersal on metapopulation dynamics is poorly understood. Here, we investigate how group dispersal and Allee effects shape metapopulation dynamics identifying conditions in which group dispersal can be an advantage over independent dispersal. We approach this question by building and analysing a Markovian random walk for metapopulation dynamics including group dispersal and Allee effect. This Markovian random walk is analogous to the discrete-time Stochastic Patch Occupancy Model (SPOM). We find that intermediate group sizes may lead to larger and more sustainable metapopulations in the presence of an Allee effect. Hence, understanding how group size variation and realized (meta)population dynamics are linked offers an exciting future venue for research that is expected to yield key insights into the ecology and evolution of populations occupying spatially structured environments. [ABSTRACT FROM AUTHOR] Copyright of Annales Zoologici Fennici is the property of Finnish Zoological & Botanical Publishing Board and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edb&AN=123144171&site=eds-live&scope=site&custid=s2775460"
"On metapopulation resistance to drift and extinction","Lehmann, Laurent; Perrin, Nicolas","ECOLOGY",="00129658",,="2006","87","7","1844","12","000239457900021",,"ECOLOGICAL SOC AMER",,"biodiversity; connectivity; eigenvalue effective size; fragmentation; landscape; matrix analysis; stochastic patch occupancy model (SPOM)",,,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edswsc&AN=000239457900021&site=eds-live&scope=site&custid=s2775460"
"Improved Bayesian analysis of metapopulation data with an application to a tree frog metapopulation","ter Braak, CJF; Etienne, RS","ECOLOGY",="00129658",,="2003","84","1","231","11","000180792700020",,"ECOLOGICAL SOC AMER",,"Bayesian analysis; colonization; data augmentation; extinction; incidence function model; Markov Chain Monte Carlo; metapopulation; quasi-stationarity; stochastic patch occupancy model (SPOM); tree frog",,,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edswsc&AN=000180792700020&site=eds-live&scope=site&custid=s2775460"
"The effective size of a metapopulation living in a heterogeneous patch network","Ovaskainen, O","AMERICAN NATURALIST",="00030147",,="2002","160","5","612","17","000178884400007",,"UNIV CHICAGO PRESS",,"metapopulation dynamics; stochastic patch occupancy model; ideal metapopulation; heterogeneous landscape; mean-field approximation; quasi-stationary distribution",,,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edswsc&AN=000178884400007&site=eds-live&scope=site&custid=s2775460"
