Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Distribution of crickets (Subfamily: Phalangopsinae) in caves of Baratang Island, Andaman and Nicobar Islands, India","Amruta Dhamorikar; Dhanusha Kawalkar; Shirish Manchi","International Journal of Speleology",="1827806X",,="2020","49","3","221","8","edsdoj.69994b004a1343a7a89aa7896dd3f8e4","10.5038/1827-806X.49.3.2341","University of South Florida Libraries","article","cave fauna; cave zones; occupancy; subterranean ecosystem; species distribution; Biology (General); QH301-705.5; Geology; QE1-996.5",,"Cave-dwelling organisms share different ecological and evolutionary relationships with caves. Based on these interactions, they are categorized as troglobites, troglophiles, and trogloxenes. In India, caves are meagerly explored, and thus cave study is in its infancy in India. Through the present study, we attempted to understand and model the distribution of crickets (Family Phalangopsidae), a critical group of insects - being the primary consumers in the cave ecosystems. We sampled seven caves using belt transects (N = 184; total area covered = 1294.9 m2) with 1 m width. During the survey, we encountered 818 individual crickets (116.85 ± 47.16 SD per cave). Of these, 87.7% encounters were on walls, 7.09% were on the ceiling, and 5.13% were on the cave floor. We used the Single-species Multi-season occupancy model to calculate the overall, zone-wise, and cave-specific occupancy. Cricket occupancy in Baratang caves is seasonal and highly zonal, with detectability ≤1. The cave with less distinct zones has more consistent occupancies and zero chances of extinction and colonization. Hence, these caves serve as suitable habitat for the source population. A negative correlation of cave morphometric features (cave volume, wall surface area, and floor surface area), and density of crickets (p < 0.05), might need further validation. The study shows the need for detailed studies regarding cricket taxonomy and ecology towards establishing the conservation importance of the species and their habitat in the islands.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsdoj&AN=edsdoj.69994b004a1343a7a89aa7896dd3f8e4&site=eds-live&scope=site&custid=s2775460"
"Accounting for false positive detection error induced by transient individuals.","Sutherland, C.; Elston, D. A.; Lambin, X.","Wildlife Research",="10353712",,="2013","40","6","490","9","92697734","10.1071/WR12166","CSIRO Publishing","Article","Endangered species; Wildlife conservation; Biological extinction; Colonization (Ecology); Metapopulation (Ecology); Voles; Arvicola","Bayesian; colonisation; conservation; extinction; metapopulation; site-occupancy model; utilisation; water vole","Context In metapopulations, colonisation is the result of dispersal from neighbouring occupied patches, typically juveniles dispersing from natal to breeding sites. When occupancy dynamics are dispersal driven, occupancy should refer to the presence of established, breeding populations. The detection of transient individuals at sites that are, by definition, unoccupied (i.e. false positive detections), may result in misleading conclusions about metapopulation dynamics. Until recently, the issue of false positives has been considered negligible and current efforts to account for such error have been restricted to the context of species misidentification. However, the detection of transient individuals visiting multiple sites while dispersing is a distinct source of false positives that can bias estimates of occupancy because visited sites do not contribute to metapopulation dynamics in the same way as do sites occupied by established, reproducing populations. Although transient-induced false positive error presents a challenge to occupancy studies aiming to account for all sources of detection error and estimate occupancy without bias, accounting for it has received little attention. Aims Using a novel application of an existing occupancy model, we sought to account for false positives that result from transient individuals being observed at truly unoccupied sites (i.e. where no establishment has occurred). Methods We applied a Bayesian multi-season occupancy model correcting for false negative and false positive errors, to 3 years of detection or non-detection data from a metapopulation of water voles, Arvicola amphibious, in which both types of patch-state misclassification are suspected. Key results We provide evidence that transient individuals can cause false positive detection errors. We then demonstrate the flexibility of the occupancy model to account for both false negative and false positive detection errors beyond the typical application to species misidentification. Accounting for both types of observation error reduces the bias in estimates of occupancy and avoids misleading conclusions about the status of (meta) populations by allowing for the distinction to be made between resident and transient occupancy. Conclusion In many species, transience may result in patch-state misclassification which needs to be accounted for so as to draw correct inference about metapopulation status. Making the distinction between occupancy by established populations and visitation by transients will influence how we interpret patch occupancy dynamics, with important implications for the management of wildlife. Implications The ability to estimate occupancy free of bias induced by false positive detections can help ensure that downward trends in occupancy are detected despite such declines being accompanied by increasing frequency of transients associated with, for example, reductions in mate availability or failure to establish. Our approach can be applied to any occupancy study in which false positive detections are suspected because of the behaviour of the focal species. False positive detections in wildlife monitoring are often assumed to be negligible or altogether ignored, despite potentially resulting in misleading conclusions about the status and distribution of populations. We demonstrate that explicitly accounting for false positives reduces occupancy estimates highlighting also an important and overlooked source of false positives - detection of transient individuals. Effectively managing populations of conservation concern requires that the design and analyses of monitoring studies consider sources of both false positive and false negative detection errors. Photograph by Alan Ross. [ABSTRACT FROM AUTHOR] Copyright of Wildlife Research is the property of CSIRO Publishing and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=8gh&AN=92697734&site=eds-live&scope=site&custid=s2775460"
"Barred Owls reduce occupancy and breeding propensity of Northern Spotted Owl in a Washington old-growth forest.","Mangan, Anna O; Chestnut, Tara; Vogeler, Jody C; Breckheimer, Ian K; King, Wendy M; Bagnall, Keith E; Dugger, Katie M","Condor: Ornithological Applications",="00105422",,="Aug2019","121","3","N.PAG","1","138318637","10.1093/condor/duz031","Oxford University Press / USA","Article","MOUNT Rainier National Park (Wash.); Finfish Farming and Fish Hatcheries; Logging (except contract); Logging; Contract logging; Administration of Conservation Programs; OWLS; LOGGING; HABITATS; PUBLIC lands; ENDANGERED species; FISH breeding",,"Protected lands like national parks are important refuges for threatened and endangered species as environmental pressures on wildlife and their habitats increase. The Northern Spotted Owl (Strix occidentalis caurina), a species designated as threatened under the Endangered Species Act, occurs on public lands throughout the western United States including Mount Rainier National Park (MRNP), Washington. With virtually no history of timber harvest or large forest disturbance within MRNP boundaries since the park's creation in 1899, MRNP provides an ideal place to evaluate potential impacts of climate change and invasive Barred Owls (Strix varia) on the Northern Spotted Owl. We used a multi-state, multi-season occupancy model to investigate how Northern Spotted Owl occupancy dynamics and breeding propensity are related to the presence of Barred Owls, local and regional weather, and habitat characteristics at MRNP from 1997 to 2016. Historical occupancy of Northern Spotted Owl breeding territories in MRNP has declined by 50% in the last 20 yr, and territory occupancy by breeding Northern Spotted Owls also decreased, reaching a low of 25% in 2016. Occupancy rates were higher on territories with steeper terrain and breeding rates were lower when Barred Owls were detected within historical territories. Our results also indicated that breeding propensity was higher when early nesting season temperatures during March and April were higher. In addition, the ability to detect breeding Northern Spotted Owls decreased when Barred Owls were present in the territory. Habitat variables from LiDAR were not correlated with Northern Spotted Owl occupancy dynamics, likely reflecting the dominance of old-growth forest in this protected park. This study illustrates the strong relationship between Barred Owls and Northern Spotted Owl demographics and breeding site selection in a landscape where habitat loss by timber harvest and fire has not occurred. [ABSTRACT FROM AUTHOR] Copyright of Condor: Ornithological Applications is the property of Oxford University Press / USA and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edb&AN=138318637&site=eds-live&scope=site&custid=s2775460"
"Impact of cattle grazing on the occupancy of a cryptic, threatened rail.","Richmond OM; Tecklin J; Beissinger SR","Ecological applications : a publication of the Ecological Society of America",="1051-0761",,="2012 Jul","22","5","1655",,"22908720","10.1890/11-1021.1","Ecological Society of America","Journal Article","California; Animal Husbandry; Birds physiology; Cattle physiology; Endangered Species; Animals; California; Ecosystem; Population Dynamics; Time Factors",,"Impacts of livestock grazing in arid and semiarid environments are often concentrated in and around wetlands where animals congregate for water, cooler temperatures, and green forage. We assessed the impacts of winter-spring (November-May) cattle grazing on marsh vegetation cover and occupancy of a highly secretive marsh bird that relies on dense vegetation cover, the California Black Rail (Laterallus jamaicensis coturniculus), in the northern Sierra Nevada foothills of California, U.S.A. Using detection-nondetection data collected during repeated call playback surveys at grazed vs. ungrazed marshes and a ""random changes in occupancy"" parameterization of a multi-season occupancy model, we examined relationships between occupancy and habitat covariates, while accounting for imperfect detection. Marsh vegetation cover was significantly lower at grazed marshes than at ungrazed marshes during the grazing season in 2007 but not in 2008. Winter-spring grazing had little effect on Black Rail occupancy at irrigated marshes. However, at nonirrigated marshes fed by natural springs and streams, grazed sites had lower occupancy than ungrazed sites. Black Rail occupancy was positively associated with marsh area, irrigation as a water source, and summer vegetation cover, and negatively associated with marsh isolation. Residual dry matter (RDM), a commonly used metric of grazing intensity, was significantly associated with summer marsh vegetation cover at grazed sites but not spring cover. Direct monitoring of marsh vegetation cover, particularly at natural spring- or stream-fed marshes, is recommended to prevent negative impacts to rails from overgrazing.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=mnh&AN=22908720&site=eds-live&scope=site&custid=s2775460"
"Occupancy modeling reveals territory-level effects of nest boxes on the presence, colonization, and persistence of a declining raptor in a fruit-growing region.","Megan E Shave; Catherine A Lindell","PLoS ONE",="19326203",,="2017","12","10","e0185701",,"edsdoj.fd56a4507414661bdb3c249872f802b","10.1371/journal.pone.0185701","Public Library of Science (PLoS)","article","Medicine; Science",,"Nest boxes for predators in agricultural regions are an easily implemented tool to improve local habitat quality with potential benefits for both conservation and agriculture. The potential for nest boxes to increase raptor populations in agricultural regions is of particular interest given their positions as top predators. This study examined the effects of cherry orchard nest boxes on the local breeding population of a declining species, the American Kestrel (Falco sparverius), in a fruit-growing region of Michigan. During the 2013-2016 study, we added a total of 23 new nest boxes in addition to 24 intact boxes installed previously; kestrels used up to 100% of our new boxes each season. We conducted temporally-replicated surveys along four roadside transects divided into 1.6 km × 500 m sites. We developed a multi-season occupancy model under a Bayesian framework and found that nest boxes had strong positive effects on first-year site occupancy, site colonization, and site persistence probabilities. The estimated number of occupied sites increased between 2013 and 2016, which correlated with the increase in number of sites with boxes. Kestrel detections decreased with survey date but were not affected by time of day or activity at the boxes themselves. These results indicate that nest boxes determined the presence of kestrels at our study sites and support the conclusion that the local kestrel population is likely limited by nest site availability. Furthermore, our results are highly relevant to the farmers on whose properties the boxes were installed, for we can conclude that installing a nest box in an orchard resulted in a high probability of kestrels occupying that orchard or the areas adjacent to it.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsdoj&AN=edsdoj.fd56a4507414661bdb3c249872f802b&site=eds-live&scope=site&custid=s2775460"
"Multi-Season Regional Analysis of Multi-Species Occupancy: Implications for Bird Conservation in Agricultural Lands in East-Central Argentina.","Andrea Paula Goijman; Michael J Conroy; Jaime Nicolás Bernardos; María Elena Zaccagnini","PLoS ONE",="19326203",,="2015","10","6","e0130874",,"edsdoj.6415a42354fe4ee6bf658a70c7ca30b9","10.1371/journal.pone.0130874","Public Library of Science (PLoS)","article","Medicine; Science",,"Rapid expansion and intensification of agriculture create challenges for the conservation of biodiversity and associated ecosystem services. In Argentina, the total row crop planted area has increased in recent decades with the expansion of soybean cultivation, homogenizing the landscape. In 2003 we started the first long-term, large-scale bird monitoring program in agroecosystems of central Argentina, in portions of the Pampas and Espinal ecoregions. Using data from this program, we evaluated the effect of land use and cover extent on birds between 2003-2012, accounting for imperfect detection probabilities using a Bayesian hierarchical, multi-species and multi-season occupancy model. We tested predictions that species diversity is positively related to habitat heterogeneity, which in intensified agroecosystems is thought to be mediated by food availability; thus the extent of land use and cover is predicted to affect foraging guilds differently. We also infer about ecosystem services provisioning and inform management recommendations for conservation of birds. Overall our results support the predictions. Although many species within each guild responded differently to land use and native forest cover, we identified generalities for most trophic guilds. For example, granivorous gleaners, ground insectivores and omnivores responded negatively to high proportions of soybean, while insectivore gleaners and aerial foragers seemed more tolerant. Habitat heterogeneity would likely benefit most species in an intensified agroecosystem, and can be achieved with a diversity of crops, pastures, and natural areas within the landscape. Although most studied species are insectivores, potentially beneficial for pest control, some guilds such as ground insectivores are poorly represented, suggesting that agricultural intensification reduces ecological functions, which may be recovered through management. Continuation of the bird monitoring program will allow us to continue to inform for conservation of birds in agroecosystems, identify research needed to reduce key uncertainties, and anticipate the effects of changes in agriculture in central Argentina.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsdoj&AN=edsdoj.6415a42354fe4ee6bf658a70c7ca30b9&site=eds-live&scope=site&custid=s2775460"
"高原鼠兔在不同植被覆盖的立地占域、局部灭绝和建群率","德吉央宗 马红梅 米玛旺堆","动物学杂志 / Chinese Journal of Zoology",="02503263",,="2014","49","3","328",,"edscqv.49841057",,,"Article","建群率; 区域灭绝率; 占域率; 高原鼠兔; 植被覆盖; Colonization rate; Local extinction rate; Occupancy rate; Plateau pikas, Ochotona curzoniae; Vegetation cover",,"青藏高原的草地生态系统被野生动物和家畜广泛地利用。大型有蹄类动物的放牧和小型哺乳类动物的挖掘行为，会改变其栖息地的植物群落。基于拉萨市墨竹工卡县日多镇年村牦牛（Bos grunniens）放牧的实践，我们发现高原鼠兔（Ochotona cirzoniae）立地占域率、建群和区域灭绝率与栖息地变量之间存在一定的格局关系。为了了解高原鼠兔立地占域率、建群和区域灭绝率与栖息地之间的关系，我们采用多季节性立地占据模型，利用Presence软件对相关数据进行分析。结果表明，高原鼠兔局部灭绝率与植被覆盖度之间存在正相关性，而与建群率之间则呈负相关性。 / The steppes of the Qinghai-Tibetan Plateau are widely used by both livestock and wildlife. Both the grazing of large ungulates and the burrowing of small mammals modulate habitats used by other species. The study was conducted in Medrogongka County, Lhasa prefecture Tibetan Autonomous Region. We applied the single-species, multi-season occupancy models to explore the relationship between site occupancy by plateau pikas and habitat variables based on yak grazing, including the extinction and colonization rate of pikas. To accomplish this, the multi-season occupancy model was used with the program PRESENCE. Findings showed that there was a positive relation between vegetation cover and pika extinction rate, but a negative relation between vegetation cover and pika colonization.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edscqv&AN=edscqv.49841057&site=eds-live&scope=site&custid=s2775460"
"Dynamic occupancy models for explicit colonization processes",,"Ecology",="00129658",,="2016","97","1","194",,"edsjsr.24703005",,"ECOLOGICAL SOCIETY OF AMERICA","research-article",,,"The dynamic, multi-season occupancy model framework has become a popular tool for modeling open populations with occupancies that change over time through local colonizations and extinctions. However, few versions of the model relate these probabilities to the occupancies of neighboring sites or patches. We present a modeling framework that incorporates this information and is capable of describing a wide variety of spatiotemporal colonization and extinction processes. A key feature of the model is that it is based on a simple set of small-scale rules describing how the process evolves. The result is a dynamic process that can account for complicated large-scale features. In our model, a site is more likely to be colonized if more of its neighbors were previously occupied and if it provides more appealing environmental characteristics than its neighboring sites. Additionally, a site without occupied neighbors may also become colonized through the inclusion of a long-distance dispersal process. Although similar model specifications have been developed for epidemiological applications, ours formally accounts for detectability using the well-known occupancy modeling framework. After demonstrating the viability and potential of this new form of dynamic occupancy model in a simulation study, we use it to obtain inference for the ongoing Common Myna (Acridotheres tristis) invasion in South Africa. Our results suggest that the Common Myna continues to enlarge its distribution and its spread via short distance movement, rather than long-distance dispersal. Overall, this new modeling framework provides a powerful tool for managers examining the drivers of colonization including short- vs. long-distance dispersal, habitat quality, and distance from source populations.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsjsr&AN=edsjsr.24703005&site=eds-live&scope=site&custid=s2775460"
"Impact of cattle grazing on the occupancy of a cryptic, threatened rail","Orien M. W. Richmond; Jerry Tecklin; Steven R. Beissinger","Ecological Applications",="10510761",,="2012","22","5","1655",,"edsjsr.41722880",,"Ecological Society of America","research-article","Marshes; Grazing; Vegetation cover; Grazing intensity; Vegetation; Waterfowl; Isols; Grazing management; Wildlife management; Parametric models",,"Impacts of livestock grazing in arid and semiarid environments are often concentrated in and around wetlands where animals congregate for water, cooler temperatures, and green forage. We assessed the impacts of winter-spring (November-May) cattle grazing on marsh vegetation cover and occupancy of a highly secretive marsh bird that relies on dense vegetation cover, the California Black Rail (Laterallus jamaicensis coturniculus), in the northern Sierra Nevada foothills of California, USA. Using detectionnondetection data collected during repeated call playback surveys at grazed vs. ungrazed marshes and a ""random changes in occupancy"" parameterization of a multi-season occupancy model, we examined relationships between occupancy and habitat covariates, while accounting for imperfect detection. Marsh vegetation cover was significantly lower at grazed marshes than at ungrazed marshes during the grazing season in 2007 but not in 2008. Winterspring grazing had little effect on Black Rail occupancy at irrigated marshes. However, at nonirrigated marshes fed by natural springs and streams, grazed sites had lower occupancy than ungrazed sites. Black Rail occupancy was positively associated with marsh area, irrigation as a water source, and summer vegetation cover, and negatively associated with marsh isolation. Residual dry matter (RDM), a commonly used metric of grazing intensity, was significantly associated with summer marsh vegetation cover at grazed sites but not spring cover. Direct monitoring of marsh vegetation cover, particularly at natural spring-or streamfed marshes, is recommended to prevent negative impacts to rails from overgrazing.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsjsr&AN=edsjsr.41722880&site=eds-live&scope=site&custid=s2775460"
"Bird community response to fruit energy","Valerie E. Peters; Rua Mordecai; C. Ronald Carroll; Robert J. Cooper; Russell Greenberg","Journal of Animal Ecology",="00218790",,="2010","79","4","824",,"edsjsr.40835470",,"Blackwell Publishing","research-article","Birds; Species; Animal ecology; Animal communities; Agroecology; Forest ecology; Fruits; Plants; Conservation biology; Synecology",,"1. The abundance and predictability of food resources have been posited as explanations for the increase of animal species richness in tropical habitats. However, the heterogeneity of natural ecosystems makes it difficult to quantify a response of animal species richness to these qualities of food resources. 2. Fruit-frugivore studies are especially conducive for testing such ecological theories because fruit is conspicuous and easily counted. Fruit-frugivore research in some locations has demonstrated a relationship between animal abundance and fruit resource abundance, both spatially and temporally. These studies, which typically use fruit counts as the variable of fruit abundance, have never documented a response of species richness at the community level. Furthermore, these studies have not taken into account factors influencing the detection of an individual within surveys. 3. Using a combination of nonstandard approaches to fruit-frugivore research, we show a response of bird species richness to fruit resources. First, we use uniform and structurally similar, one-ha shade-grown coffee plots as replicated experimental units to reduce the influence of confounding variables. Secondly, we use multi-season occupancy modelling of a resident omnivorous bird assemblage in order to account for detection probability in our analysis of site occupancy, local immigration and local emigration. Thirdly, we expand our variable of fruit abundance, Fruit Energy Availability (FEA), to include not only fruit counts but also fruit size and fruit quality. 4. We found that a site's average monthly FEA was highly correlated (0-90) with a site's average bird species richness. In our multi-season occupancy model 92% of the weight of evidence supported a single model that included effects of FEA on initial occupancy, immigration, emigration and detection. 5. These results demonstrate that fruit calories can broadly influence the richness of a neotropical bird community, and that fluctuations of FEA explains much of the site occupancy patterns of component species. This study shows that in depauperate, managed landscapes fruit resource abundance supports more species and fruit constancy allows for higher levels of avian persistence, an important practical concept for conservation planning.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsjsr&AN=edsjsr.40835470&site=eds-live&scope=site&custid=s2775460"
