Sample,Review_ID,Title,Group,OverallRank,GroupRank,ToRead
Second,1471,Improving inferences in popoulation studies of rare species that are detected imperfectly,MacKenzie Cited_2000:2005,792,17,NO
Second,1470,Design considerations for examining trends in avian abundance using point counts: Examples from oak woodlands,MacKenzie Cited_2000:2005,797,18,NO
Second,1475,General constraints on sampling wildlife on FIA plots,MacKenzie Cited_2000:2005,825,19,NO
Second,1468,Landscape characteristics influence pond occupancy by frogs after accounting for detectability,MacKenzie Cited_2000:2005,852,20,NO
Second,1459,Review of capture-recapture methods applicable to noninvasive genetic sampling,MacKenzie Cited_2000:2005,858,21,NO
Second,1466,"Modeling of site occupancy dynamics for northern spotted owls, with emphasis on the effects of barred owls",MacKenzie Cited_2000:2005,881,22,NO
Second,1474,Colonization-extinction dynamics of an epiphyte metapopulation in a dynamic landscape,MacKenzie Cited_2000:2005,907,23,NO
Second,1458,Zero tolerance ecology: improving ecological inference by modelling the source of zero observations,MacKenzie Cited_2000:2005,935,24,NO
Second,1460,Integrating the metapopulation and habitat paradigms for understanding broad-scale declines of species,MacKenzie Cited_2000:2005,946,25,NO
Second,1463,"Old dog, new tricks: Innovations with presence-absence information",MacKenzie Cited_2000:2005,959,26,NO
Second,1480,On the estimation of dispersal and movement of birds,MacKenzie Cited_2000:2005,1031,27,NO
Second,1482,"A simple technique for trapping siren lacertina, Amphiuma means, and other aquatic vertebrates",MacKenzie Cited_2000:2005,1056,28,NO
Second,1476,Survey techniques for determining occupancy of isolated wetlands by round-tailed muskrats,MacKenzie Cited_2000:2005,1102,29,NO
Second,1437,Control theory and the management of ecosystems,MacKenzie Cited_2006:2010,1,1,YES
Second,1431,Using sign at power poles to document presence of bears in Greece,MacKenzie Cited_2006:2010,5,2,YES
Second,1356,A comparison of simultaneous autoregressive and generalized least squares models for dealing with spatial autocorrelation,MacKenzie Cited_2006:2010,14,3,YES
Second,1291,Distribution of American pikas in a low-elevation lava landscape: conservation implications from the range periphery,MacKenzie Cited_2006:2010,22,4,YES
Second,1342,Enhancing the area-isolation paradigm: habitat heterogeneity and metapopulation dynamics of a rare wetland mammal,MacKenzie Cited_2006:2010,27,5,YES
Second,1280,Demand for cigarettes in Turkey: an application of count data models,MacKenzie Cited_2006:2010,32,6,YES
Second,1372,Combining a map-based public survey with an estimation of site occupancy to determine the recent and changing distribution of the koala in New South Wales,MacKenzie Cited_2006:2010,34,7,YES
Second,1279,Regional avian species declines estimated from volunteer-collected long-term data using List Length Analysis,MacKenzie Cited_2006:2010,41,8,YES
Second,1385,A picture is worth a thousand words: the application of camera trapping to the study of birds,MacKenzie Cited_2006:2010,47,9,YES
Second,1294,"Do invasive species undergo metapopulation dynamics? A case study of the invasive Caspian gull, Larus cachinnans, in Poland",MacKenzie Cited_2006:2010,50,10,YES
Second,1338,Distribution and Habitat Use of King Rails in the Illinois and Upper Mississippi River Valleys,MacKenzie Cited_2006:2010,52,11,YES
Second,1412,Responses of pond-breeding amphibians to wildfire: Short-term patterns in occupancy and colonization,MacKenzie Cited_2006:2010,61,12,YES
Second,1392,Sustainability Assessment for Fishing Effects (SAFE): A new quantitative ecological risk assessment method and its application to elasmobranch bycatch in an Australian trawl fishery,MacKenzie Cited_2006:2010,69,13,YES
Second,1364,Perturbation analysis for patch occupancy dynamics,MacKenzie Cited_2006:2010,71,14,YES
Second,1442,"Discovery and spatial assessment of a Hochstetter's frog (Leiopelma hochstetteri) population found in Maungatautari Scenic Reserve, New Zealand",MacKenzie Cited_2006:2010,91,15,YES
Second,1363,Modeling Individual Animal Histories with Multistate Capture-Recapture Models,MacKenzie Cited_2006:2010,105,16,NO
Second,1394,Effects of landscape urbanization on magpie occupancy dynamics in France,MacKenzie Cited_2006:2010,109,17,NO
Second,1443,"The roles of landscape context, niche breadth, and range boundaries in predicting species responses to habitat alteration",MacKenzie Cited_2006:2010,110,18,NO
Second,1285,Experimental Investigation of Observation Error in Anuran Call Surveys,MacKenzie Cited_2006:2010,111,19,NO
Second,1388,Evaluation of predicted fish distribution models for rare fish species in South Dakota,MacKenzie Cited_2006:2010,115,20,NO
Second,1325,Cost-effectiveness of two monitoring strategies for the great crested newt (Triturus cristatus),MacKenzie Cited_2006:2010,126,21,NO
Second,1319,Do habitat suitability models reliably predict the recovery areas of threatened species?,MacKenzie Cited_2006:2010,131,22,NO
Second,1334,Occupancy estimation and the closure assumption,MacKenzie Cited_2006:2010,139,23,NO
Second,1383,Multi-scale occupancy estimation and modelling using multiple detection methods,MacKenzie Cited_2006:2010,150,24,NO
Second,1323,Modeling Disease Vector Occurrence when Detection Is Imperfect: Infestation of Amazonian Palm Trees by Triatomine Bugs at Three Spatial Scales,MacKenzie Cited_2006:2010,152,25,NO
Second,1340,Assessing range re-expansion and recolonization of human-impacted landscapes by threatened species: a case study of the otter (Lutra lutra) in Italy,MacKenzie Cited_2006:2010,154,26,NO
Second,1324,Recent advances in understanding migration systems of New World land birds,MacKenzie Cited_2006:2010,172,27,NO
Second,1368,Occupancy of Random Plots by White-Tailed and Gunnison's Prairie Dogs,MacKenzie Cited_2006:2010,173,28,NO
Second,1428,Determinants of local extinction and turnover rates in urban bird communities,MacKenzie Cited_2006:2010,175,29,NO
Second,1378,"Influence of Gravel Mining and Other Factors on Detection Probabilities of Coastal Plain Fishes in the Mobile River Basin, Alabama",MacKenzie Cited_2006:2010,176,30,NO
Second,1331,Data Analysis in Monitoring,MacKenzie Cited_2006:2010,183,31,NO
Second,1389,"Optimisation of a fuzzy physical habitat model for spawning European grayling (Thymallus thymallus L.) in the Aare river (Thun, Switzerland)",MacKenzie Cited_2006:2010,186,32,NO
Second,1318,Estimating individual survival using territory occupancy data on unmarked animals,MacKenzie Cited_2006:2010,187,33,NO
Second,1439,Intra-guild compensation regulates species richness in desert rodents: Comment,MacKenzie Cited_2006:2010,199,34,NO
Second,1330,Field Techniques for Population Sampling and Estimation,MacKenzie Cited_2006:2010,200,35,NO
Second,1297,Occupancy and Habitat Use of the Least Bittern and Pied-billed Grebe in the Illinois and Upper Mississippi River Valleys,MacKenzie Cited_2006:2010,207,36,NO
Second,1345,"LARGE, WETLAND-ASSOCIATED MAYFLIES (EPHEMEROPTERA) OF GLACIER NATIONAL PARK, MONTANA",MacKenzie Cited_2006:2010,215,37,NO
Second,1438,How biased are estimates of extinction probability in revisitation studies?,MacKenzie Cited_2006:2010,223,38,NO
Second,1306,"The Need for Large-Scale, Integrated Studies of Biodiversity - the Experience of the Program for Biodiversity Research in Brazilian Amazonia",MacKenzie Cited_2006:2010,225,39,NO
Second,1432,Cane toads reduce the abundance and site occupancy of Merten's water monitor (Varanus mertensi),MacKenzie Cited_2006:2010,228,40,NO
Second,1380,"Site occupancy of the Indian giant squirrel Ratufa indica (Erxleben) in Kalakad-Mundanthurai Tiger Reserve, Tamil Nadu, India",MacKenzie Cited_2006:2010,229,41,NO
Second,1300,Models for inference in dynamic metacommunity systems,MacKenzie Cited_2006:2010,236,42,NO
Second,1379,Climate and the range dynamics of species with imperfect detection,MacKenzie Cited_2006:2010,248,43,NO
Second,1384,"Critical review of mammalogy studies in projects of power plants in the Plateau of Santa Catarina, Brazil",MacKenzie Cited_2006:2010,269,44,NO
Second,1309,An empirical probability model of detecting species at low densities,MacKenzie Cited_2006:2010,291,45,NO
Second,1360,History Matters: Relating Land-Use Change to Butterfly Species Occurrence,MacKenzie Cited_2006:2010,300,46,NO
Second,1341,Climate change and translocations: The potential to re-establish two regionally-extinct butterfly species in Britain,MacKenzie Cited_2006:2010,313,47,NO
Second,1336,"Dynamic multistate site occupancy models to evaluate hypotheses relevant to conservation of Golden Eagles in Denali National Park, Alaska",MacKenzie Cited_2006:2010,316,48,NO
Second,1329,Designing a Monitoring Plan,MacKenzie Cited_2006:2010,334,49,NO
Second,1446,Gamebird vulnerability to forest fragmentation: patch occupancy of the crested guineafowl (Guttera edouardi) in Afromontane forests,MacKenzie Cited_2006:2010,360,50,NO
Second,1440,The ghost of past species occurrence: improving species distribution models for presence-only data,MacKenzie Cited_2006:2010,368,51,NO
Second,1347,"A threshold response to habitat disturbance by forest birds in the Choco Andean corridor, Northwest Ecuador",MacKenzie Cited_2006:2010,369,52,NO
Second,1296,Detectability of American Mink Using Rafts to Solicit Field Signs in a Population Control Context,MacKenzie Cited_2006:2010,371,53,NO
Second,1408,Habitat selection in a changing environment: The relationship between habitat alteration and spotted owl territory occupancy and breeding dispersal,MacKenzie Cited_2006:2010,375,54,NO
Second,1351,Patch-Occupancy Modeling as a Method for Monitoring Changes in Forest Floristics: a Case Study in Southeastern Australia,MacKenzie Cited_2006:2010,378,55,NO
Second,1295,DETECTION PROBABILITY OF CLIFF-NESTING RAPTORS DURING HELICOPTER AND FIXED-WING AIRCRAFT SURVEYS IN WESTERN ALASKA,MacKenzie Cited_2006:2010,380,56,NO
Second,1332,Didn't you see that bug ... ? Investigating disease vector occurrence when detection is imperfect,MacKenzie Cited_2006:2010,385,57,NO
Second,1348,"Testing for the relative contribution of patch neighborhood, patch internal structure, and presence of predators and competitor species in determining distribution patterns of rodents in a fragmented landscape",MacKenzie Cited_2006:2010,397,58,NO
Second,1311,Design of occupancy studies with imperfect detection,MacKenzie Cited_2006:2010,413,59,NO
Second,1282,"Distribution and Climatic Relationships of the American Pika (Ochotona princeps) in the Sierra Nevada and Western Great Basin, U.S.A.; Periglacial Landforms as Refugia in Warming Climates. Reply",MacKenzie Cited_2006:2010,414,60,NO
Second,1427,A large-scale deforestation experiment: Effects of patch area and isolation on Amazon birds,MacKenzie Cited_2006:2010,419,61,NO
Second,1359,Modeling species occurrence dynamics with multiple states and imperfect detection,MacKenzie Cited_2006:2010,424,62,NO
Second,1382,Assessing Diversity of Diurnal Lepidoptera in Habitat Fragments: Testing the Efficiency of Strip Transects,MacKenzie Cited_2006:2010,434,63,NO
Second,1286,SCALE-DEPENDENT MECHANISMS OF HABITAT SELECTION FOR A MIGRATORY PASSERINE: AN EXPERIMENTAL APPROACH,MacKenzie Cited_2006:2010,453,64,NO
Second,1406,An evaluation of methods for assessing the population status of the threatened Alpine Tree Frog Litoria verreauxii alpina in southeastern Australia,MacKenzie Cited_2006:2010,464,65,NO
Second,1450,A rapid approach to modeling species-habitat relationships,MacKenzie Cited_2006:2010,471,66,NO
Second,1320,Experimental design and taxonomic scope of fragmentation studies on European mammals: current status and future priorities,MacKenzie Cited_2006:2010,476,67,NO
Second,1405,"Estimating species' absence, colonization and local extinction in patchy landscapes: an application of occupancy models with rodents",MacKenzie Cited_2006:2010,491,68,NO
Second,1453,"Modeling the probability of resource use: The effect of, and dealing with, detecting a species imperfectly",MacKenzie Cited_2006:2010,493,69,NO
Second,1290,Predicting species distributions from checklist data using site-occupancy models,MacKenzie Cited_2006:2010,498,70,NO
Second,1420,Preliminary study of the effects of headwater riparian reserves with upslope thinning on stream habitats and amphibians in western Oregon,MacKenzie Cited_2006:2010,500,71,NO
Second,1376,"Relative Nest Density, Nest Success, and Site Occupancy of King Rails in Southwestern Louisiana Rice Fields",MacKenzie Cited_2006:2010,504,72,NO
Second,1355,The use of sighting records to infer species extinctions: an evaluation of different methods,MacKenzie Cited_2006:2010,505,73,NO
Second,1397,A novel approach for assessing density and range-wide abundance of prairie dogs,MacKenzie Cited_2006:2010,530,74,NO
Second,1410,Conceptual models as hypotheses in monitoring urban landscapes,MacKenzie Cited_2006:2010,549,75,NO
Second,1298,Dealing with the Clandestine Nature of Wildlife-Trade Market Surveys,MacKenzie Cited_2006:2010,554,76,NO
Second,1395,The influence of trap density and sampling duration on the detection of small mammal species richness,MacKenzie Cited_2006:2010,557,77,NO
Second,1339,Detecting range shifts from historical species occurrences: new perspectives on old data,MacKenzie Cited_2006:2010,563,78,NO
Second,1288,Ants as a Measure of Effectiveness of Habitat Conservation Planning in Southern California,MacKenzie Cited_2006:2010,569,79,NO
Second,1401,"Evaluation of scent-station surveys to monitor the distribution of three European carnivore species (Martes foina, Meles meles, Vulpes vulpes) in a fragmented landscape",MacKenzie Cited_2006:2010,571,80,NO
Second,1333,TRENDS IN ANURAN OCCUPANCY FROM NORTHEASTERN STATES OF THE NORTH AMERICAN AMPHIBIAN MONITORING PROGRAM,MacKenzie Cited_2006:2010,572,81,NO
Second,1307,"Evaluating the status of the Endangered tiger Panthera tigris and its prey in Panna Tiger Reserve, Madhya Pradesh, India",MacKenzie Cited_2006:2010,580,82,NO
Second,1381,Dynamic occupancy models reveal within-breeding season movement up a habitat quality gradient by a migratory songbird,MacKenzie Cited_2006:2010,583,83,NO
Second,1377,"SPOTTED OWL RESEARCH: A QUARTER CENTURY OF CONTRIBUTIONS TO EDUCATION, ORNITHOLOGY, ECOLOGY, AND WILDLIFE MANAGEMENT",MacKenzie Cited_2006:2010,584,84,NO
Second,1349,Knowledge-based versus data-driven fuzzy habitat suitability models for river management,MacKenzie Cited_2006:2010,585,85,NO
Second,1317,"STATUS, DISTRIBUTION AND MICROHABITATS OF BLANCHARD'S CRICKET FROG ACRIS BLANCHARDI IN SOUTH DAKOTA",MacKenzie Cited_2006:2010,592,86,NO
Second,1371,Landscape thresholds in species occurrence as quantitative targets in forest management: generality in space and time?,MacKenzie Cited_2006:2010,595,87,NO
Second,1415,A note on simplifying likelihoods for site occupancy models,MacKenzie Cited_2006:2010,605,88,NO
Second,1313,Predicting the rate of range expansion of an invasive alien bumblebee (Bombus terrestris) using a stochastic spatio-temporal model,MacKenzie Cited_2006:2010,623,89,NO
Second,1303,Bird community response to fruit energy,MacKenzie Cited_2006:2010,624,90,NO
Second,1310,Seeking a second opinion: uncertainty in disease ecology,MacKenzie Cited_2006:2010,625,91,NO
Second,1402,"Camera trapping of carnivores: Trap success among camera types and across species, and habitat selection by species, on Salt Pond Mountain, Giles County, Virginia",MacKenzie Cited_2006:2010,629,92,NO
Second,1370,Considerations on the Use of Remote Cameras to Detect Canada Lynx in Northern Maine,MacKenzie Cited_2006:2010,633,93,NO
Second,1426,Evaluation of the status of anurans on a refuge in suburban Maryland,MacKenzie Cited_2006:2010,635,94,NO
Second,1369,"Factors influencing subcolony colonization and persistence in a colonial seabird, the common murre Uria aalge",MacKenzie Cited_2006:2010,643,95,NO
Second,1278,"Spawning phenology and habitat use in a Great Plains, USA, stream fish assemblage: an occupancy estimation approach",MacKenzie Cited_2006:2010,649,96,NO
Second,1312,Habitat Use by Least Bitterns in the Arkansas Delta,MacKenzie Cited_2006:2010,652,97,NO
Second,1400,Differences in the degree of environmental control on large and small tropical plants: just a sampling effect?,MacKenzie Cited_2006:2010,654,98,NO
Second,1361,FACTORS RELATED TO OCCUPANCY OF BREEDING WETLANDS BY FLATWOODS SALAMANDER LARVAE,MacKenzie Cited_2006:2010,655,99,NO
Second,1289,Site-Occupancy Distribution Modeling to Correct Population-Trend Estimates Derived from Opportunistic Observations,MacKenzie Cited_2006:2010,670,100,NO
Second,1308,Landscape structure and local habitat characteristics as correlates of Glaucomys sabrinus and Tamiasciurus hudsonicus occurrence,MacKenzie Cited_2006:2010,674,101,NO
Second,1422,A method for estimating insect abundance and patch occupancy with potential applications in large-scale monitoring programmes,MacKenzie Cited_2006:2010,675,102,NO
Second,1367,Multi-level discrepancies with sharing data on protected areas: What we have and what we need for the global village,MacKenzie Cited_2006:2010,678,103,NO
Second,1344,"Relationship Between Avifaunal Occupancy and Riparian Vegetation in the Central Great Basin (Nevada, USA)",MacKenzie Cited_2006:2010,681,104,NO
Second,1327,"EFFECTS OF PRIOR DETECTIONS ON ESTIMATES OF DETECTION PROBABILITY, ABUNDANCE, AND OCCUPANCY",MacKenzie Cited_2006:2010,689,105,NO
Second,1352,Using occupancy models to determine mammalian responses to landscape changes,MacKenzie Cited_2006:2010,699,106,NO
Second,1362,Gap-crossing movements predict species occupancy in Amazonian forest fragments,MacKenzie Cited_2006:2010,706,107,NO
Second,1390,Population Status and Trends of Northern Bobwhite (Colinus virginianus) in Ohio: 1984-2004,MacKenzie Cited_2006:2010,715,108,NO
Second,1302,"Site Occupancy Dynamics of Northern Spotted Owls in the Eastern Cascades, Washington, USA, 1990-2003",MacKenzie Cited_2006:2010,722,109,NO
Second,1281,Agent-Based Inference for Animal Movement and Selection,MacKenzie Cited_2006:2010,724,110,NO
Second,1436,Community structure and differential responses of aquatic turtles to agriculturally induced habitat fragmentation,MacKenzie Cited_2006:2010,728,111,NO
Second,1441,"Status and trends in demography of northern spotted owls, 1985-2003",MacKenzie Cited_2006:2010,731,112,NO
Second,1365,"Hierarchical Modeling and Inference in Ecology: The Analysis of Data from Populations, Metapopulations and Communities",MacKenzie Cited_2006:2010,735,113,NO
Second,1299,Unmodeled observation error induces bias when inferring patterns and dynamics of species occurrence via aural detections,MacKenzie Cited_2006:2010,736,114,NO
Second,1315,Habitat selection of rodents along a pinon juniper woodland savannah gradient,MacKenzie Cited_2006:2010,740,115,NO
Second,1407,Amphibian populations in the terrestrial environment: Is there evidence of declines of terrestrial forest amphibians in northwestern California?,MacKenzie Cited_2006:2010,763,116,NO
Second,1444,Generalized site occupancy models allowing for false positive and false negative errors,MacKenzie Cited_2006:2010,764,117,NO
Second,1391,Stochastic approach to determine spatial patterns of lizard community on a desert island,MacKenzie Cited_2006:2010,787,118,NO
Second,1399,Role of current versus historical hydrology in amphibian species turnover within local pond communities,MacKenzie Cited_2006:2010,791,119,NO
Second,1449,Modeling approaches in avian conservation and the role of field biologists,MacKenzie Cited_2006:2010,813,120,NO
Second,1321,Rapid Turnover in Site Occupancy of a Pond-breeding Frog Demonstrates the Need for Landscape-level Management,MacKenzie Cited_2006:2010,819,121,NO
Second,1366,Population dynamics of six land snail species in experimentally fragmented grassland,MacKenzie Cited_2006:2010,827,122,NO
Second,1343,The importance of ant-rich habitats for the persistence of the Wryneck Jynx torquilla on farmland,MacKenzie Cited_2006:2010,838,123,NO
Second,1316,"Testing Hypotheses of Bird Extinctions at Rio Palenque, Ecuador, with Informal Species Lists",MacKenzie Cited_2006:2010,856,124,NO
Second,1354,Species richness and occupancy estimation in communities subject to temporary emigration,MacKenzie Cited_2006:2010,861,125,NO
Second,1417,Spatial dynamics of an invasive bird species assessed using robust design occupancy analysis: the case of the Eurasian collared dove (Streptopelia decaocto) in France,MacKenzie Cited_2006:2010,867,126,NO
Second,1418,An empirical evaluation of the area and isolation paradigm of metapopulation dynamics,MacKenzie Cited_2006:2010,869,127,NO
Second,1393,"Species diversity and persistence in restored and remnant tallgrass prairies of North America: a function of species' life history, habitat type, or sampling bias?",MacKenzie Cited_2006:2010,891,128,NO
Second,1292,Inter-annual variability in amphibian assemblages: implications for diversity assessment and conservation,MacKenzie Cited_2006:2010,897,129,NO
Second,1433,Guidelines for developing and updating Bayesian belief networks applied to ecological modeling and conservation,MacKenzie Cited_2006:2010,899,130,NO
Second,1411,Applications of nestedness analyses to biodiversity conservation in developing landscapes,MacKenzie Cited_2006:2010,905,131,NO
Second,1335,Patterns and determinants of mammal species occurrence in India,MacKenzie Cited_2006:2010,906,132,NO
Second,1403,Making great leaps forward: Accounting for detectability in herpetological field studies,MacKenzie Cited_2006:2010,908,133,NO
Second,1430,Richness and distribution of sponge megabenthos in continental margin canyons off southeastern Australia,MacKenzie Cited_2006:2010,912,134,NO
Second,1337,Occupancy Models of Nesting-Season Habitat Associations of Red-Shouldered Hawks in Central Minnesota,MacKenzie Cited_2006:2010,948,135,NO
Second,1413,A Bayesian state-space formulation of dynamic occupancy models,MacKenzie Cited_2006:2010,949,136,NO
Second,1346,Prevalence-adjusted optimisation of fuzzy models for species distribution,MacKenzie Cited_2006:2010,956,137,NO
Second,1448,Detection probabilities and site occupancy estimates for amphibians at Okefenokee National Wildlife Refuge,MacKenzie Cited_2006:2010,963,138,NO
Second,1404,On the choice of statistical models for estimating occurrence and extinction from animal surveys,MacKenzie Cited_2006:2010,964,139,NO
Second,1322,Statistical Agent-Based Models for Discrete Spatio-Temporal Systems,MacKenzie Cited_2006:2010,970,140,NO
Second,1386,Amphibian distributions in riparian and upslope areas and their habitat associations on managed forest landscapes in the Oregon Coast Range,MacKenzie Cited_2006:2010,972,141,NO
Second,1416,Occupancy estimation and modeling with multiple states and state uncertainty,MacKenzie Cited_2006:2010,973,142,NO
Second,1328,Population Estimation Methods for Amphibians and Reptiles,MacKenzie Cited_2006:2010,975,143,NO
Second,1326,Using occupancy estimates to fine-tune conservation concerns RESPONSE,MacKenzie Cited_2006:2010,977,144,NO
Second,1414,"Retrospective Comparison of the Occurrence and Abundance of Rusty Blackbird in the Mackenzie Valley, Northwest Territories",MacKenzie Cited_2006:2010,989,145,NO
Second,1293,Optimising biodiversity assessments by volunteers: The application of occupancy modelling to large-scale amphibian surveys,MacKenzie Cited_2006:2010,1005,146,NO
Second,1283,Effects of non-cropped landscape diversity on spatial dynamics of farmland birds in intensive farming systems,MacKenzie Cited_2006:2010,1008,147,NO
Second,1419,"Monitoring mammals in the Caxiuanu National Forest, Brazil - First results from the Tropical Ecology, Assessment and Monitoring (TEAM) program",MacKenzie Cited_2006:2010,1035,148,NO
Second,1305,Ranking Mahalanobis Distance Models for Predictions of Occupancy From Presence-Only Data,MacKenzie Cited_2006:2010,1036,149,NO
Second,1284,Multistate modeling of habitat dynamics: factors affecting Florida scrub transition probabilities,MacKenzie Cited_2006:2010,1038,150,NO
Second,1353,"Capture Probability and Behavioral Response of the Robust Redhorse, a Cryptic Riverine Fish, to Electrofishing",MacKenzie Cited_2006:2010,1040,151,NO
Second,1375,Imperfect detection and its consequences for monitoring for conservation,MacKenzie Cited_2006:2010,1044,152,NO
Second,1358,Modeling abundance using N-mixture models: the importance of considering ecological mechanisms,MacKenzie Cited_2006:2010,1049,153,NO
Second,1451,Effects of patch quality and network structure on patch occupancy dynamics of a yellow-bellied marmot metapopulation,MacKenzie Cited_2006:2010,1053,154,NO
Second,1452,Optimizing presence-absence surveys for detecting population trends,MacKenzie Cited_2006:2010,1063,155,NO
Second,1357,Monitoring multiple species: Estimating state variables and exploring the efficacy of a monitoring program,MacKenzie Cited_2006:2010,1064,156,NO
Second,1287,"Beyond pandas, the need for a standardized monitoring protocol for large mammals in Chinese nature reserves",MacKenzie Cited_2006:2010,1068,157,NO
Second,1304,Effects of Rain on Palm Springs Ground Squirrel Occupancy in the Sonoran Desert,MacKenzie Cited_2006:2010,1069,158,NO
Second,1373,"Presence-nonpresence surveys of golden-cheeked warblers: detection, occupancy and survey effort",MacKenzie Cited_2006:2010,1074,159,NO
Second,1421,"Headwater streams and timber harvest: Channel, macroinvertebrate, and amphibian response and recovery",MacKenzie Cited_2006:2010,1080,160,NO
Second,1425,Modelling population changes using data from different surveys: the common birds census and the breeding bird survey,MacKenzie Cited_2006:2010,1095,161,NO
Second,1374,"Evaluating the Small Population Paradigm for Rare Large-Bodied Woodpeckers, with Implications for the Ivory-billed Woodpecker",MacKenzie Cited_2006:2010,1098,162,NO
Second,1314,SETTLEMENT IN NOVEL HABITATS INDUCED BY SOCIAL INFORMATION MAY DISRUPT COMMUNITY STRUCTURE,MacKenzie Cited_2006:2010,1104,163,NO
Second,1434,Estimating site occupancy and detection probability parameters for meso- and large mammals in a coastal ecosystem,MacKenzie Cited_2006:2010,1108,164,NO
Second,1445,Inferences from common species communities for selecting conservation areas,MacKenzie Cited_2006:2010,1118,165,NO
Second,1409,Estimating abundance from detection-nondetection data for randomly distributed or aggregated elusive populations,MacKenzie Cited_2006:2010,1119,166,NO
Second,1435,Planning for robust reserve networks using uncertainty analysis,MacKenzie Cited_2006:2010,1122,167,NO
Second,1301,"Extracting useful data from imperfect monitoring schemes: endangered butterflies at San Bruno Mountain, San Mateo County, California (1982-2000) and implications for habitat management",MacKenzie Cited_2006:2010,1123,168,NO
Second,1447,Animal and vegetation patterns in natural and man-made bog pools: implications for restoration,MacKenzie Cited_2006:2010,1125,169,NO
Second,1398,"Distribution, occupancy, and habitat correlates of American martens (Martes americana) in Rocky Mountain National Park, Colorado",MacKenzie Cited_2006:2010,1127,170,NO
Second,1454,"Estimating site occupancy and detectability of an endangered New Zealand lizard, the Otago skink (Oligosoma otagense)",MacKenzie Cited_2006:2010,1144,171,NO
Second,1424,Bryophytes in a changing landscape: The hierarchical effects of habitat fragmentation on ecological and evolutionary processes,MacKenzie Cited_2006:2010,1147,172,NO
Second,1423,Patch-occupancy models indicate human activity as major determinant of forest elephant Loxodonta cyclotis seasonal distribution in an industrial corridor in Gabon,MacKenzie Cited_2006:2010,1148,173,NO
Second,1396,Viability and patch occupancy of a swamp rabbit metapopulation at the northern edge of its distribution,MacKenzie Cited_2006:2010,1152,174,NO
Second,1350,"There and Back Again, or the Problem of Locality in Biodiversity Surveys",MacKenzie Cited_2006:2010,1154,175,NO
Second,1387,Zero-inflated modeling of fish catch per unit area resulting from multiple gears: Application to channel catfish and shovelnose sturgeon in the Missouri River,MacKenzie Cited_2006:2010,1162,176,NO
Second,1429,Sampling design trade-offs in occupancy studies with imperfect detection: Examples and software,MacKenzie Cited_2006:2010,1171,177,NO
Second,1243,Combining stable-isotope (delta D) and band recovery data to improve probabilistic assignment of migratory birds to origin,MacKenzie Cited_2011:2015,3,1,YES
Second,1058,Factors affecting Burrowing Owl occupancy of prairie dog colonies,MacKenzie Cited_2011:2015,4,2,YES
Second,1067,"Distribution and abundance of bat assemblages among different forest covers in Gorgona National Natural Park, Colombia",MacKenzie Cited_2011:2015,6,3,YES
Second,973,"The amphibians of the Circeo National Park, central Italy: distribution and aquatic habitat use",MacKenzie Cited_2011:2015,9,4,YES
Second,1093,Site occupancy response to natural and anthropogenic disturbances of root vole: Conservation problem of a vulnerable relict subspecies,MacKenzie Cited_2011:2015,10,5,YES
Second,1137,Edge effects and large mammal distributions in a national park,MacKenzie Cited_2011:2015,11,6,YES
