Review_ID,StrataRank,Strata,Title,Year,Journal,Authors,Citations,DOI,KeyTerms,CitesMackenzie
17,48,2004-2007,"Modeling of site occupancy dynamics for northern spotted owls, with emphasis on the effects of barred owls",2005,JOURNAL OF WILDLIFE MANAGEMENT,"Olson, GS; Anthony, RG; Forsman, ED; Ackers, SH; Loschl, PJ; Reid, JA; Dugger, KM; Glenn, EM; Ripple, WJ",118,10.2193/0022-541X(2005)069[0918:MOSODF]2.0.CO;2,TRUE,TRUE
725,49,2004-2007,Animal and vegetation patterns in natural and man-made bog pools: implications for restoration,2006,FRESHWATER BIOLOGY,"Mazerolle, MJ; Poulin, M; Lavoie, C; Rochefort, L; Desrochers, A; Drolet, B",47,10.1111/j.1365-2427.2005.01480.x,FALSE,TRUE
700,50,2004-2007,Community structure and differential responses of aquatic turtles to agriculturally induced habitat fragmentation,2006,LANDSCAPE ECOLOGY,"Rizkalla, Carol E.; Swihart, Robert K.",59,10.1007/s10980-006-0019-6,FALSE,TRUE
617,51,2004-2007,Estimating and dealing with detectability in occupancy surveys for forest owls and arboreal marsupials,2005,JOURNAL OF WILDLIFE MANAGEMENT,"Wintle, BA; Kavanagh, RP; McCarthy, MA; Burgman, MA",155,10.2193/0022-541X(2005)069[0905:EADWDI]2.0.CO;2,FALSE,TRUE
907,52,2004-2007,Design considerations for examining trends in avian abundance using point counts: Examples from oak woodlands,2005,CONDOR,"Purcell, KL; Mori, SR; Chase, MK",20,10.1650/7595,FALSE,TRUE
240,53,2004-2007,"Estimating species' absence, colonization and local extinction in patchy landscapes: an application of occupancy models with rodents",2007,JOURNAL OF ZOOLOGY,"Mortelliti, A.; Boitani, L.",15,10.1111/j.1469-7998.2007.00320.x,TRUE,TRUE
589,54,2004-2007,Modelling occurrence and abundance of species when detection is imperfect,2005,OIKOS,"Royle, JA; Nichols, JD; Kéry, M",268,10.1111/j.0030-1299.2005.13534.x,FALSE,TRUE
91,55,2004-2007,Determinants of local extinction and turnover rates in urban bird communities,2007,ECOLOGICAL APPLICATIONS,"Huste, Aurelie; Boulinier, Thierry",37,10.1890/1051-0761(2007)017[0168:DOLEAT]2.0.CO;2,TRUE,FALSE
683,56,2004-2007,"Declining amphibian populations: The pitfalls of count data in the study of diversity, distributions, dynamics, and demography",2004,HERPETOLOGICAL JOURNAL,"Schmidt, BR",70,NA,FALSE,TRUE
199,57,2004-2007,Adaptation and propagule pressure determine invasion dynamics: insights from a spatially explicit model for sexually reproducing species,2005,EVOLUTIONARY ECOLOGY RESEARCH,"Travis, JMJ; Hammershoj, M; Stephenson, C",18,NA,TRUE,FALSE
608,58,2004-2007,"Disparity between range map- and survey-based analyses of species richness: patterns, processes and implications",2005,ECOLOGY LETTERS,"Hurlbert, AH; White, EP",181,10.1111/j.1461-0248.2005.00726.x,FALSE,TRUE
49,59,2004-2007,Responses of pond-breeding amphibians to wildfire: Short-term patterns in occupancy and colonization,2007,ECOLOGICAL APPLICATIONS,"Hossack, Blake R.; Corn, Paul Stephen",59,10.1890/06-2037.1,TRUE,TRUE
663,60,2004-2007,Planning for robust reserve networks using uncertainty analysis,2006,ECOLOGICAL MODELLING,"Moilanen, Atte; Runge, Michael C.; Elith, Jane; Tyre, Andrew; Carmel, Yohay; Fegraus, Eric; Wintle, Brendan A.; Burgman, Mark; Ben-Haim, Yakov",90,10.1016/j.ecolmodel.2006.07.004,FALSE,TRUE
572,61,2004-2007,General constraints on sampling wildlife on FIA plots,2005,Proceedings of the Fourth Annual Forest Inventory and Analysis Symposium,"Bailey, LL; Sauer, JR; Nichols, JD; Geissler, PH",0,NA,TRUE,TRUE
1382,62,2004-2007,Amphibian populations in the terrestrial environment: Is there evidence of declines of terrestrial forest amphibians in northwestern California?,2007,JOURNAL OF HERPETOLOGY,"Welsh, Hartwell H., Jr.; Fellers, Gary M.; Lind, Amy J.",2,10.1670/0022-1511(2007)41[469:APITTE]2.0.CO;2,FALSE,TRUE
336,63,2004-2007,Evaluation of the status of anurans on a refuge in suburban Maryland,2007,JOURNAL OF HERPETOLOGY,"Brander, S. M.; Royle, J. A.; Eames, M.",10,10.1670/0022-1511(2007)41[52:EOTSOA]2.0.CO;2,TRUE,TRUE
312,64,2004-2007,Metapopulation models: An empirical test of model assumptions and evaluation methods,2005,ECOLOGY,"Johnson, DM",11,10.1890/04-1815,TRUE,FALSE
25,65,2004-2007,"Large-scale population dynamics, abundance-occupancy relationships and the scaling from local to regional population size",2005,JOURNAL OF ANIMAL ECOLOGY,"Freckleton, RP; Gill, JA; Noble, D; Watkinson, AR",94,10.1111/j.1365-2656.2005.00931.x,TRUE,FALSE
688,66,2004-2007,Modelling population changes using data from different surveys: the common birds census and the breeding bird survey,2007,BIRD STUDY,"Freeman, Stephen N.; Noble, David G.; Newson, Stuart E.; Baillie, Stephen R.",66,10.1080/00063650709461457,FALSE,TRUE
762,67,2004-2007,Optimizing presence-absence surveys for detecting population trends,2006,JOURNAL OF WILDLIFE MANAGEMENT,"Rhodes, JR; Tyre, AJ; Jonzén, N; McAlpine, CA; Possingham, HP",37,10.2193/0022-541X(2006)70[8:OPSFDP]2.0.CO;2,FALSE,TRUE
616,68,2004-2007,Estimating site occupancy and detection probability parameters for meso- and large mammals in a coastal ecosystem,2006,JOURNAL OF WILDLIFE MANAGEMENT,"O'Connell, Allan F., Jr.; Talancy, Neil W.; Bailey, Larissa L.; Sauer, John R.; Cook, Robert; Gilbert, Andrew T.",156,10.2193/0022-541X(2006)70[1625:ESOADP]2.0.CO;2,FALSE,TRUE
760,69,2004-2007,A field-based evaluation of a presence-absence protocol for monitoring ecoregional-scale biodiversity,2005,JOURNAL OF WILDLIFE MANAGEMENT,"Manley, PN; Schlesinger, MD; Roth, JK; Van Horne, B",38,10.2193/0022-541X(2005)069[0950:AFEOAP]2.0.CO;2,FALSE,TRUE
12,70,2004-2007,"Monitoring distributions using call surveys: estimating site occupancy, detection probabilities and inferring absence",2005,BIOLOGICAL CONSERVATION,"Pellet, J; Schmidt, BR",166,10.1016/j.biocon.2004.10.005,TRUE,TRUE
311,71,2004-2007,A method for estimating insect abundance and patch occupancy with potential applications in large-scale monitoring programmes,2007,AFRICAN ENTOMOLOGY,"Sileshi, G.",11,10.4001/1021-3589-15.1.89,TRUE,TRUE
1296,72,2004-2007,Conceptual models as hypotheses in monitoring urban landscapes,2007,ENVIRONMENTAL MANAGEMENT,"Lookingbill, Todd R.; Gardner, Robert H.; Townsend, Philip A.; Carter, Shawn L.",4,10.1007/s00267-005-0246-7,FALSE,TRUE
131,73,2004-2007,Population trends and calling phenology of anuran populations surveyed in Ontario estimated using acoustic surveys,2006,BIODIVERSITY AND CONSERVATION,"De Solla, Shane R.; Fernie, Kim J.; Barrett, Glenn C.; Bishop, Christine A.",27,10.1007/s10531-004-6905-9,TRUE,FALSE
2,74,2004-2007,Improving inferences in popoulation studies of rare species that are detected imperfectly,2005,ECOLOGY,"MacKenzie, DI; Nichols, JD; Sutton, N; Kawanishi, K; Bailey, LL",322,10.1890/04-1060,TRUE,TRUE
1217,75,2004-2007,A comprehensive approach to identifying monitoring priorities of small landbirds on military installations,2004,ENVIRONMENTAL MANAGEMENT,"Althoff, DP; Rivers, JW; Pontius, JS; Gipson, PS; Woodford, PB",6,10.1007/s00267-004-0023-z,FALSE,TRUE
5,76,2004-2007,Metapopulation ecology in the sea: from Levins' model to marine ecology and fisheries science,2004,FISH AND FISHERIES,"Kritzer, JP; Sale, PF",298,10.1111/j.1467-2979.2004.00131.x,TRUE,FALSE
765,77,2004-2007,Determinants of local extinction and turnover rates in urban bird communities,2007,ECOLOGICAL APPLICATIONS,"Huste, Aurelie; Boulinier, Thierry",36,10.1890/1051-0761(2007)017[0168:DOLEAT]2.0.CO;2,FALSE,TRUE
985,78,2004-2007,Modeling approaches in avian conservation and the role of field biologists,2006,AUK,"Beissinger, SR; Walters, JR; Catanzaro, DG; Smith, KG; Dunning, JB; Haig, SM; Noon, BR; Stith, BM",15,NA,FALSE,TRUE
666,79,2004-2007,Bryophytes in a changing landscape: The hierarchical effects of habitat fragmentation on ecological and evolutionary processes,2007,BIOLOGICAL CONSERVATION,"Pharo, Emma J.; Zartman, Charles E.",83,10.1016/j.biocon.2006.10.016,FALSE,TRUE
580,80,2004-2007,A Bayesian state-space formulation of dynamic occupancy models,2007,ECOLOGY,"Royle, J. Andrew; Kery, Marc",333,10.1890/06-0669.1,FALSE,TRUE
949,81,2004-2007,Influence of the temporal resolution of data on the success of indicator species models of species richness across multiple taxonomic groups,2005,BIOLOGICAL CONSERVATION,"Thomson, JR; Fleishman, E; Mac Nally, R; Dobkin, DS",17,10.1016/j.biocon.2005.02.013,FALSE,TRUE
686,82,2004-2007,Integrating the metapopulation and habitat paradigms for understanding broad-scale declines of species,2005,CONSERVATION BIOLOGY,"Armstrong, DP",68,10.1111/j.1523-1739.2005.00117.x,FALSE,TRUE
701,83,2004-2007,Monitoring the distribution of pond-breeding amphibians when species are detected imperfectly,2005,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,"Schmidt, BR",59,10.1002/aqc.740,FALSE,TRUE
1000,84,2004-2007,Inferences from common species communities for selecting conservation areas,2006,BIODIVERSITY AND CONSERVATION,"Jiguet, F; Julliard, R",14,10.1007/s10531-004-1067-3,FALSE,TRUE
22,85,2004-2007,Using counts to simultaneously estimate abundance and detection probabilities in a salamander community,2004,HERPETOLOGICA,"Dodd, CK; Dorazio, RM",99,10.1655/03-60,TRUE,TRUE
732,86,2004-2007,"Headwater streams and timber harvest: Channel, macroinvertebrate, and amphibian response and recovery",2007,FOREST SCIENCE,"Jackson, C. Rhett; Batzer, Darold P.; Cross, Sarah S.; Haggerty, Stephanie M.; Sturm, Christopher A.",44,NA,FALSE,TRUE
887,87,2004-2007,"A simple technique for trapping siren lacertina, <i>Amphiuma means</i>, and other aquatic vertebrates",2004,JOURNAL OF FRESHWATER ECOLOGY,"Johnson, SA; Barichivich, WJ",21,10.1080/02705060.2004.9664540,FALSE,TRUE
54,88,2004-2007,Abundance-occupancy dynamics in a human dominated environment: linking interspecific and intraspecific trends in British farmland and woodland birds,2007,JOURNAL OF ANIMAL ECOLOGY,"Webb, Thomas J.; Noble, David; Freckleton, Robert P.",58,10.1111/j.1365-2656.2006.01192.x,TRUE,FALSE
1151,89,2004-2007,Survey techniques for determining occupancy of isolated wetlands by round-tailed muskrats,2005,SOUTHEASTERN NATURALIST,"Schooley, RL; Branch, LC",8,10.1656/1528-7092(2005)004[0745:STFDOO]2.0.CO;2,FALSE,TRUE
834,90,2004-2007,Applications of nestedness analyses to biodiversity conservation in developing landscapes,2007,LANDSCAPE AND URBAN PLANNING,"Fleishman, Erica; Donnelly, Roarke; Fay, John P.; Reeves, Rick",26,10.1016/j.landurbplan.2007.02.002,FALSE,TRUE
871,91,2004-2007,Modeling spatial trends in estimated species richness using breeding bird survey data: A valuable tool in biodiversity assessment,2005,BIODIVERSITY AND CONSERVATION,"Jiguet, F; Julliard, R; Couvet, D; Petiau, A",22,10.1007/s10531-004-0448-y,FALSE,TRUE
751,92,2004-2007,On the estimation of dispersal and movement of birds,2004,CONDOR,"Kendall, WL; Nichols, JD",40,10.1650/7630,FALSE,TRUE
654,93,2004-2007,Was it there? Dealing with imperfect detection for species presence/absence data,2005,AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS,"MacKenzie, DI",96,10.1111/j.1467-842X.2005.00372.x,FALSE,TRUE
678,94,2004-2007,How biased are estimates of extinction probability in revisitation studies?,2006,JOURNAL OF ECOLOGY,"Kery, Marc; Spillmann, John H.; Truong, Camille; Holderegger, Rolf",73,10.1111/j.1365-2745.2006.01151.x,FALSE,TRUE
695,95,2004-2007,"The roles of landscape context, niche breadth, and range boundaries in predicting species responses to habitat alteration",2006,DIVERSITY AND DISTRIBUTIONS,"Swihart, RK; Lusk, JJ; Duchamp, JE; Rizkalla, CE; Moore, JE",62,10.1111/j.1366-9516.2006.00242.x,FALSE,TRUE
231,96,2004-2007,Stochastic models for mainland-island metapopulations in static and dynamic landscapes,2006,BULLETIN OF MATHEMATICAL BIOLOGY,"Ross, JV",16,10.1007/s11538-005-9043-y,TRUE,FALSE
44,1,2008-2011,An idealized model for tree-grass coexistence in savannas: the role of life stage structure and fire disturbances,2010,JOURNAL OF ECOLOGY,"Baudena, Mara; D'Andrea, Fabio; Provenzale, A.",65,10.1111/j.1365-2745.2009.01588.x,TRUE,FALSE
691,2,2008-2011,Distribution of American pikas in a low-elevation lava landscape: conservation implications from the range periphery,2010,JOURNAL OF MAMMALOGY,"Rodhouse, Thomas J.; Beever, Erik A.; Garrett, Lisa K.; Irvine, Kathryn M.; Jeffress, Mackenzie R.; Munts, Michael; Ray, Chris",63,10.1644/09-MAMM-A-334.1,FALSE,TRUE
886,3,2008-2011,Amphibian distributions in riparian and upslope areas and their habitat associations on managed forest landscapes in the Oregon Coast Range,2008,FOREST ECOLOGY AND MANAGEMENT,"Kluber, Matthew R.; Olson, Deanna H.; Puettmann, Klaus J.",21,10.1016/j.foreco.2008.04.043,FALSE,TRUE
680,4,2008-2011,Modeling Disease Vector Occurrence when Detection Is Imperfect: Infestation of Amazonian Palm Trees by Triatomine Bugs at Three Spatial Scales,2010,PLOS NEGLECTED TROPICAL DISEASES,"Abad-Franch, Fernando; Ferraz, Goncalo; Campos, Ciro; Palomeque, Francisco S.; Grijalva, Mario J.; Marcelo Aguilar, H.; Miles, Michael A.",72,10.1371/journal.pntd.0000620,FALSE,TRUE
1183,5,2008-2011,Evaluation of predicted fish distribution models for rare fish species in South Dakota,2008,NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT,"Hayer, Cari-Ann; Wall, Steven S.; Berry, Charles R., Jr.",7,10.1577/M07-086.1,FALSE,TRUE
389,6,2008-2011,PREDICTING GULL/HUMAN CONFLICTS WITH MATHEMATICAL MODELS: A TOOL FOR MANAGEMENT,2009,NATURAL RESOURCE MODELING,"Hayward, James L.; Henson, Shandelle M.; Tkachuck, Richard D.; Tkachuck, Cynthia M.; Payne, Brianna G.; Boothby, Cassaundra K.",7,10.1111/j.1939-7445.2009.00052.x,TRUE,FALSE
964,7,2008-2011,Detectability of the Eurasian otter by standard surveys: an approach using marking intensity to estimate false negative rates,2011,NATURWISSENSCHAFTEN,"Balestrieri, Alessandro; Remonti, Luigi; Prigioni, Claudio",16,10.1007/s00114-010-0737-0,FALSE,TRUE
948,8,2008-2011,"Distribution, occupancy, and habitat correlates of American martens (<i>Martes americana</i>) in Rocky Mountain National Park, Colorado",2008,JOURNAL OF MAMMALOGY,"Baldwin, Roger A.; Bender, Louis C.",17,10.1644/07-MAMM-A-053R1.1,FALSE,TRUE
1179,9,2008-2011,Testing climate-based species distribution models with recent field surveys of pond-breeding amphibians in eastern Missouri,2011,CANADIAN JOURNAL OF ZOOLOGY,"Trumbo, D. R.; Burgett, A. A.; Knouft, J. H.",7,10.1139/Z11-083,FALSE,TRUE
