"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3X6DEZA4","journalArticle","","Govindan, Byju Nambidiyattil","The Role of Resource Predictability in the Metapopulation Dynamics of Insects","","","","","","","","2021-10-27 03:31:30","2021-10-27 03:31:30","","202","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/kelleherj/Zotero/storage/G675WWRT/Govindan - The Role of Resource Predictability in the Metapop.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WQQ8BYKB","thesis","2015","Grant, Tyler John","Anuran occupancy dynamics and an assessment of floodplain wetland distribution and hydrology in a Missouri River floodplain","","","","","https://lib.dr.iastate.edu/etd/14200/","","2015","2021-10-27 03:31:32","2021-10-27 03:31:32","2021-10-27 03:31:32","","","","","","","","","","","","Iowa State University, Digital Repository","Ames","en","","Doctor of Philosophy","","","DOI.org (Crossref)","","Pages: 7780228 DOI: 10.31274/etd-180810-3751","","/Users/kelleherj/Zotero/storage/3I7E7FJJ/Grant - 2015 - Anuran occupancy dynamics and an assessment of flo.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LAAENG8Z","journalArticle","2020","Sálim Ali Centre for Ornithology and Natural History; Dhamorikar, Amruta; Kawalkar, Dhanusha; Sálim Ali Centre for Ornithology and Natural History; Manchi, Shirish; Sálim Ali Centre for Ornithology and Natural History","Distribution of crickets (Subfamily: Phalangopsinae) in caves of Baratang Island, Andaman and Nicobar Islands, India","International Journal of Speleology","","0392-6672, 1827-806X","10.5038/1827-806X.49.3.2341","http://scholarcommons.usf.edu/ijs/vol49/iss3/5/","Cave-dwelling organisms share different ecological and evolutionary relationships with caves.","2020-09","2021-10-27 03:31:36","2021-10-27 03:31:36","2021-10-27 03:31:36","221-228","","3","49","","IJS","Distribution of crickets (Subfamily","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/P2BQ95W5/Sálim Ali Centre for Ornithology and Natural History et al. - 2020 - Distribution of crickets (Subfamily Phalangopsina.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WJTSXTFB","journalArticle","2020","Hardesty-Moore, Molly; Orr, Devyn; McCauley, Douglas J.","Invasive plant Arundo donax alters habitat use by carnivores","Biological Invasions","","1387-3547, 1573-1464","10.1007/s10530-020-02234-4","http://link.springer.com/10.1007/s10530-020-02234-4","","2020-06","2021-10-27 03:31:38","2021-10-27 03:31:38","2021-10-27 03:31:38","1983-1995","","6","22","","Biol Invasions","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/94RJIPVP/Hardesty-Moore et al. - 2020 - Invasive plant Arundo donax alters habitat use by .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36E22WAP","journalArticle","2017","Shave, Megan E.; Lindell, Catherine A.","Occupancy modeling reveals territory-level effects of nest boxes on the presence, colonization, and persistence of a declining raptor in a fruit-growing region","PLOS ONE","","1932-6203","10.1371/journal.pone.0185701","https://dx.plos.org/10.1371/journal.pone.0185701","","2017-10-18","2021-10-27 03:31:41","2021-10-27 03:31:41","2021-10-27 03:31:41","e0185701","","10","12","","PLoS ONE","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/55SDSYPF/Shave and Lindell - 2017 - Occupancy modeling reveals territory-level effects.pdf","","","","Heneberg, Petr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LD48SXBH","journalArticle","2019","Johnson, Tracey N.; Nasman, Kristen; Wallace, Zachary P.; Olson, Lucretia E.; Squires, John R.; Nielson, Ryan M.; Kennedy, Patricia L.","Survey design for broad-scale, territory-based occupancy monitoring of a raptor: Ferruginous hawk (Buteo regalis) as a case study","PLOS ONE","","1932-6203","10.1371/journal.pone.0213654","https://dx.plos.org/10.1371/journal.pone.0213654","Given the uncertain population status of low-density, widely-occurring raptors, monitoring changes in abundance and distribution is critical to conserving populations. Nest-based monitoring is a common, useful approach, but the difficulty and expense of monitoring raptor nests and importance of reliable trend data to conservation requires that limited resources are allocated efficiently. Power analyses offer a helpful tool to ensure that monitoring programs have the ability to detect trends and to optimize financial resources devoted to monitoring. We evaluated alternative monitoring designs for raptors to identify appropriate survey effort to detect population trends. We used data collected from a territory-occupancy study of ferruginous hawks throughout Wyoming to guide simulations and evaluate the ability to detect trends in occupancy rates. Results suggest that greater gains in precision of trend estimation may be achieved through the addition of more sites and not more visits; statistical power was �80% when monitoring lasted 20 years and population declines were 20%; and probability of detection affected statistical power less than rates of population decline. Monitoring at least 150 sites for 20 years would provide reasonable estimates of trend in occupancy given certain rates of detection and occupancy, but only for population declines of 20%. Removal sampling did not result in substantial changes of any metrics used to evaluate simulations, providing little justification for employing the standard design if territory occupancy is the variable of interest. Initial rates of territory occupancy may be biased high, a problem inherent to many studies that monitor territory occupancy. We explored the effects of lower rates of initial occupancy on the ability to detect trends. Although we present data from a study of ferruginous hawks, our simulations can be applied to other raptor species with similar life history and population dynamics to provide guidance for future trend estimation of territory occupancy.","2019-03-22","2021-10-27 03:31:43","2021-10-27 03:31:43","2021-10-27 03:31:43","e0213654","","3","14","","PLoS ONE","Survey design for broad-scale, territory-based occupancy monitoring of a raptor","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/RCBDUIJV/Johnson et al. - 2019 - Survey design for broad-scale, territory-based occ.pdf","","","","Boyce, Mark S.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LLJZ6XFS","journalArticle","2018","McCabe, Jennifer D.; Yin, He; Cruz, Jennyffer; Radeloff, Volker; Pidgeon, Anna; Bonter, David N.; Zuckerberg, Benjamin","Prey abundance and urbanization influence the establishment of avian predators in a metropolitan landscape","Proceedings of the Royal Society B: Biological Sciences","","0962-8452, 1471-2954","10.1098/rspb.2018.2120","https://royalsocietypublishing.org/doi/10.1098/rspb.2018.2120","Urbanization causes the simplification of natural habitats, resulting in animal communities dominated by exotic species with few top predators. In recent years, however, many predators such as hawks, and in the US coyotes and cougars, have become increasingly common in urban environments. Hawks in the               Accipiter               genus, especially, are recovering from widespread population declines and are increasingly common in urbanizing landscapes. Our goal was to identify factors that determine the occupancy, colonization and persistence of               Accipiter               hawks in a major metropolitan area. Through a novel combination of citizen science and advanced remote sensing, we quantified how urban features facilitate the dynamics and long-term establishment of               Accipiter               hawks. Based on data from Project FeederWatch, we quantified 21 years (1996–2016) of changes in the spatio-temporal dynamics of               Accipiter               hawks in Chicago, IL, USA. Using a multi-season occupancy model, we estimated Cooper's (               Accipiter cooperii               ) and sharp-shinned (               A. striatus               ) hawk occupancy dynamics as a function of tree canopy cover, impervious surface cover and prey availability. In the late 1990s, hawks occupied 26% of sites around Chicago, but after two decades, their occupancy fluctuated close to 67% of sites and they colonized increasingly urbanized areas. Once established, hawks persisted in areas with high levels of impervious surfaces as long as those areas supported high abundances of prey birds. Urban areas represent increasingly habitable environments for recovering predators, and understanding the precise urban features that drive colonization and persistence is important for wildlife conservation in an urbanizing world.","2018-11-07","2021-10-27 03:31:46","2021-10-27 03:31:46","2021-10-27 03:31:46","20182120","","1890","285","","Proc. R. Soc. B.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/2W6QTWIW/McCabe et al. - 2018 - Prey abundance and urbanization influence the esta.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V8DM4D2F","journalArticle","","Shave, Megan Ellen","EVALUATING THE CONSERVATION AND AGRICULTURAL APPLICATIONS OF ORCHARD NEST BOXES FOR A DECLINING RAPTOR","","","","","","","","2021-10-27 03:31:47","2021-10-27 03:31:47","","153","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/kelleherj/Zotero/storage/PCVYFDT4/Shave - EVALUATING THE CONSERVATION AND AGRICULTURAL APPLI.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SVE5M8ID","journalArticle","","Govindan, Byju Nambidiyattil","The Role of Resource Predictability in the Metapopulation Dynamics of Insects","","","","","","","","2021-10-27 03:31:48","2021-10-27 03:31:48","","202","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/kelleherj/Zotero/storage/9INTTV33/Govindan - The Role of Resource Predictability in the Metapop.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2FGMZF3L","journalArticle","2019","Gallo, Travis; Fidino, Mason; Lehrer, Elizabeth W.; Magle, Seth","Urbanization alters predator‐avoidance behaviours","Journal of Animal Ecology","","0021-8790, 1365-2656","10.1111/1365-2656.12967","https://onlinelibrary.wiley.com/doi/10.1111/1365-2656.12967","","2019-05","2021-10-27 03:35:10","2021-10-27 03:35:10","2021-10-27 03:35:10","793-803","","5","88","","J Anim Ecol","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/TDWYM4NT/Gallo et al. - 2019 - Urbanization alters predator‐avoidance behaviours.pdf","","","","Loison, Anne","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLSWRYUL","thesis","2015","Grant, Tyler John","Anuran occupancy dynamics and an assessment of floodplain wetland distribution and hydrology in a Missouri River floodplain","","","","","https://lib.dr.iastate.edu/etd/14200/","","2015","2021-10-27 03:35:12","2021-10-27 03:35:12","2021-10-27 03:35:12","","","","","","","","","","","","Iowa State University, Digital Repository","Ames","en","","Doctor of Philosophy","","","DOI.org (Crossref)","","Pages: 7780228 DOI: 10.31274/etd-180810-3751","","/Users/kelleherj/Zotero/storage/KE7ID2C6/Grant - 2015 - Anuran occupancy dynamics and an assessment of flo.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ISYJCZ52","journalArticle","2021","Rodhouse, Thomas J.; Rose, Sara; Hawkins, Trent; Rodriguez, Rogelio M.","Audible bats provide opportunities for citizen scientists","Conservation Science and Practice","","2578-4854, 2578-4854","10.1111/csp2.435","https://onlinelibrary.wiley.com/doi/10.1111/csp2.435","Bat conservation has been impeded by a lack of basic information about species' distributions and abundances. Public participation in closing this gap via citizen (community) science has been limited, but bat species that produce low-frequency calls audible to the unaided human ear provide an overlooked opportunity for collaborative citizen science surveys. Audible bats are rare in regional faunas but occur globally and can be under-surveyed by traditional methods. During 2019–2020, we were joined by community members to conduct aural surveys and expand our knowledge of rare audible desert bats in western North America through a structured survey design broadly adaptable for practitioners across the globe where audible bats occur. Our study was integrated into a statistically robust but flexible master sample in use by the North American Bat Monitoring Program (NABat), ensuring representativeness of data contributions. We used survey results to update a Bayesian species distribution model for the rare spotted bat, Euderma maculatum, accounting for imperfect detection and including land cover occupancy predictors. Detection probability was estimated ~0.7 ± 0.1. Informative priors from a previous attempt to model E. maculatum were leveraged with the new citizen science data to support spatial predictions of occurrence previously impeded by data sparsity and which reinforced the biogeographic importance of arid cliffs and canyons. Our results are preliminary but encouraging, and future surveys can scale up through the NABat design structure and Bayesian modeling framework. We encourage future surveys to use recording devices to obtain voucher calls and double-observer methods to address false-positive detection errors that arise with inexperienced volunteers. Our design and model supported approach to integrating citizen science surveys into bat conservation programs can strengthen both the scientific understanding of rare species and public engagement in conservation practices.","2021-07","2021-10-27 03:35:15","2021-10-27 03:35:15","2021-10-27 03:35:15","","","7","3","","Conservat Sci and Prac","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/UQQKBWPS/Rodhouse et al. - 2021 - Audible bats provide opportunities for citizen sci.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KVALKQDN","journalArticle","2019","Mangan, Anna O; Chestnut, Tara; Vogeler, Jody C; Breckheimer, Ian K; King, Wendy M; Bagnall, Keith E; Dugger, Katie M","Barred Owls reduce occupancy and breeding propensity of Northern Spotted Owl in a Washington old-growth forest","The Condor","","0010-5422, 1938-5129","10.1093/condor/duz031","https://academic.oup.com/condor/article/doi/10.1093/condor/duz031/5543734","Protected lands like national parks are important refuges for threatened and endangered species as environmental pressures on wildlife and their habitats increase. The Northern Spotted Owl (Strix occidentalis caurina), a species designated as threatened under the Endangered Species Act, occurs on public lands throughout the western United States including Mount Rainier National Park (MRNP), Washington. With virtually no history of timber harvest or large forest disturbance within MRNP boundaries since the park’s creation in 1899, MRNP provides an ideal place to evaluate potential impacts of climate change and invasive Barred Owls (Strix varia) on the Northern Spotted Owl. We used a multi-state, multi-season occupancy model to investigate how Northern Spotted Owl occupancy dynamics and breeding propensity are related to the presence of Barred Owls, local and regional weather, and habitat characteristics at MRNP from 1997 to 2016. Historical occupancy of Northern Spotted Owl breeding territories in MRNP has declined by 50% in the last 20 yr, and territory occupancy by breeding Northern Spotted Owls also decreased, reaching a low of 25% in 2016. Occupancy rates were higher on territories with steeper terrain and breeding rates were lower when Barred Owls were detected within historical territories. Our results also indicated that breeding propensity was higher when early nesting season temperatures during March and April were higher. In addition, the ability to detect breeding Northern Spotted Owls decreased when Barred Owls were present in the territory. Habitat variables from LiDAR were not correlated with Northern Spotted Owl occupancy dynamics, likely reflecting the dominance of old-growth forest in this protected park. This study illustrates the strong relationship between Barred Owls and Northern Spotted Owl demographics and breeding site selection in a landscape where habitat loss by timber harvest and fire has not occurred.","2019-08-26","2021-10-27 03:35:17","2021-10-27 03:35:17","2021-10-27 03:35:17","duz031","","3","121","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/R5GPS3FQ/Mangan et al. - 2019 - Barred Owls reduce occupancy and breeding propensi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
